# theme: Shopping and prices
# unit: voca-1-u006
사다 | sada
팔다 | palda
돈 | don
원 | won
값 | gap
가격 | gagyeok
비싸다 | bissada
싸다 | ssada
얼마 | eolma
얼마나 | eolmana
계산 | gyesan
교환 | gyohwan
카드 | kadeu
신용카드 | sinyongkadeu
현금 | hyeongeum
지갑 | jigap
손님 | sonnim
주인 | juin
점원 | jeomwon
옷가게 | otgage
바지 | baji
청바지 | cheongbaji
치마 | chima
셔츠 | syeocheu
티셔츠 | tisyeocheu
블라우스 | beullauseu
원피스 | wonpiseu
스웨터 | seuweteo
코트 | koteu
재킷 | jaekit
속옷 | sogot
한복 | hanbok
구두 | gudu
운동화 | undonghwa
양말 | yangmal
모자 | moja
넥타이 | nektai
벨트 | belteu
스카프 | seukapeu
반지 | banji
목걸이 | mokgeori
귀걸이 | gwigeori
화장품 | hwajangpum
선물 | seonmul
고르다 | goreuda
바꾸다 | bakkuda
사이즈 | saijeu
색깔 | saekkal
색 | saek
빨간색 | ppalgansaek
파란색 | paransaek
노란색 | noransaek
까만색 | kkamansaek
검은색 | geomeunsaek
하얀색 | hayansaek
흰색 | hinsaek
초록색 | choroksaek
회색 | hoesaek
분홍색 | bunhongsaek
보라색 | borasaek
갈색 | galsaek
주황색 | juhwangsaek
빨갛다 | ppalgata
파랗다 | parata
노랗다 | norata
하얗다 | hayata
까맣다 | kkamata
벌 | beol
켤레 | kyeolle
할인 | harin
세일 | seil
봉투 | bongtu
포장 | pojang
쇼핑 | syoping
팔찌 | paljji
구경 | gugyeong
잠옷 | jamot
잔돈 | jandon
동전 | dongjeon
공책 | gongchaek
연필 | yeonpil
볼펜 | bolpen
지우개 | jiugae
핸드폰 | haendeupon
노트북 | noteubuk
카메라 | kamera
인형 | inhyeong
장난감 | jangnangam
예쁘다 | yeppeuda
멋있다 | meositda
어울리다 | eoullida
맞다 | matda
필요하다 | pillyohada
조금 | jogeum
더 | deo
모두 | modu
전부 | jeonbu
무료 | muryo
내다 | naeda
종류 | jongnyu
