# theme: Philosophy and ethics
# unit: voca-6-u002
형이상학 | hyeongisanghak
인식론 | insingnon
존재론 | jonjaeron
윤리학 | yullihak
논리학 | nollihak
관념론 | gwannyeomnon
실재론 | siljaeron
유심론 | yusimnon
이원론 | iwonnon
일원론 | irwonnon
결정론 | gyeoljeongnon
자유의지 | jayuuiji
목적론 | mokjeongnon
의무론 | uimuron
공리주의 | gongnijuui
실존주의 | siljonjuui
허무주의 | heomujuui
회의론 | hoeuiron
불가지론 | bulgajiron
무신론 | musinnon
유신론 | yusinnon
범신론 | beomsinnon
오성 | oseong
선험적 | seonheomjeok
후험적 | huheomjeok
변증법 | byeonjeungbeop
정언명령 | jeongeonmyeongnyeong
도덕률 | dodeongnyul
덕목 | deongmok
덕성 | deokseong
인륜 | illyun
천륜 | cheollyun
염치 | yeomchi
수양 | suyang
자성 | jaseong
초월 | chowol
내재 | naejae
성선설 | seongseonseol
성악설 | seongakseol
이타주의 | itajuui
이타심 | itasim
쾌락주의 | kwaerakjuui
금욕주의 | geumyokjuui
극기 | geukgi
절제 | jeolje
중용 | jungyong
무위 | muwi
인과율 | ingwayul
딜레마 | dillema
공리 | gongni
순환논증 | sunhwannonjeung
사색 | sasaek
관조 | gwanjo
절대선 | jeoldaeseon
타자 | taja
실존 | siljon
부조리 | bujori
안락사 | allaksa
존엄사 | joneomsa
연명치료 | yeonmyeongchiryo
동물권 | dongmulgwon
책무 | chaengmu
도의 | doui
도의적 | douijeok
성리학 | seongnihak
도가 | doga
노장사상 | nojangsasang
해탈 | haetal
윤회 | yunhoe
업보 | eopbo
무상 | musang
번뇌 | beonnoe
깨달음 | kkaedareum
수행 | suhaeng
정의론 | jeonguiron
분배정의 | bunbaejeongui
사회계약론 | sahoegyeyangnon
자연권 | jayeongwon
천부인권 | cheonbuingwon
행복론 | haengbongnon
비관론 | bigwannon
낙관론 | nakgwannon
숙명론 | sungmyeongnon
추상 | chusang
형상 | hyeongsang
질료 | jillyo
이데아 | idea
인본주의 | inbonjuui
사유하다 | sayuhada
현상학 | hyeonsanghak
해석학 | haeseokak
분석철학 | bunseokcheolhak
경험론 | gyeongheomnon
합리론 | hamniron
인의 | inui
극기복례 | geukgibongnye
측은지심 | cheugeunjisim
수오지심 | suojisim
사단칠정 | sadanchiljeong
이기론 | igiron
