# theme: Society and relationships
# unit: voca-3-u004
사회적 | sahoejeok
관계 | gwangye
인간관계 | ingangwangye
사귀다 | sagwida
교제 | gyoje
연애 | yeonae
연인 | yeonin
이별 | ibyeol
갈등 | galdeung
다투다 | datuda
싸움 | ssaum
화해 | hwahae
오해 | ohae
눈치 | nunchi
이해심 | ihaesim
배려 | baeryeo
간섭하다 | ganseophada
양보하다 | yangbohada
신뢰 | silloe
배신 | baesin
믿음 | mideum
의지하다 | uijihada
협력 | hyeomnyeok
협조 | hyeopjo
공동체 | gongdongche
이웃사촌 | iutsachon
또래 | ttorae
동창 | dongchang
단체 | danche
구성원 | guseongwon
소속 | sosok
참여 | chamyeo
자원봉사 | jawonbongsa
기부 | gibu
인맥 | inmaek
나눔 | nanum
공감 | gonggam
질투 | jiltu
소통 | sotong
체면 | chemyeon
의사소통 | uisasotong
표현하다 | pyohyeonhada
감정 | gamjeong
억울하다 | eogulhada
부담스럽다 | budamseureopda
어색하다 | eosaekada
친밀하다 | chinmilhada
우정 | ujeong
인연 | inyeon
배우자 | baeuja
이혼 | ihon
가정 | gajeong
핵가족 | haekgajok
대가족 | daegajok
자녀 | janyeo
육아 | yuga
맞벌이 | matbeori
독신 | doksin
노인 | noin
고령화 | goryeonghwa
저출산 | jeochulsan
청소년 | cheongsonyeon
성인 | seongin
시민 | simin
국민 | gungmin
개인 | gaein
개인적 | gaeinjeok
집단 | jipdan
사회생활 | sahoesaenghwal
질서 | jilseo
법 | beop
권리 | gwolli
의무 | uimu
책임감 | chaegimgam
평등 | pyeongdeung
차별 | chabyeol
이기적 | igijeok
편견 | pyeongyeon
성별 | seongbyeol
장애인 | jangaein
이민 | imin
적응하다 | jeogeunghada
소외되다 | soedoeda
따돌림 | ttadollim
괴롭히다 | goeropida
폭력 | pongnyeok
범죄 | beomjoe
돌보다 | dolboda
보살피다 | bosalpida
사과하다 | sagwahada
용서하다 | yongseohada
비난하다 | binanhada
소문 | somun
무관심 | mugwansim
사교적 | sagyojeok
내성적 | naeseongjeok
외향적 | oehyangjeok
행동 | haengdong
친분 | chinbun
신세 | sinse
