# theme: Culture and traditions
# unit: voca-3-u001
전통 | jeontong
풍습 | pungseup
풍속 | pungsok
관습 | gwanseup
예절 | yejeol
제사 | jesa
세배 | sebae
세뱃돈 | sebaetdon
성묘 | seongmyo
송편 | songpyeon
떡국 | tteokguk
한옥 | hanok
전통문화 | jeontongmunhwa
문화재 | munhwajae
유적 | yujeok
유물 | yumul
궁궐 | gunggwol
민속 | minsok
민속촌 | minsokchon
탈춤 | talchum
판소리 | pansori
사물놀이 | samullori
국악 | gugak
가야금 | gayageum
행사 | haengsa
의식 | uisik
환갑 | hwangap
장례식 | jangnyesik
폐백 | pyebaek
신랑 | sillang
신부 | sinbu
조상 | josang
후손 | huson
세대 | sedae
풍년 | pungnyeon
보름달 | boreumdal
대보름 | daeboreum
윷놀이 | yunnori
연날리기 | yeonnalligi
강강술래 | ganggangsullae
씨름 | ssireum
김장 | gimjang
발효 | baryo
고유하다 | goyuhada
독특하다 | dokteukada
전해지다 | jeonhaejida
이어지다 | ieojida
계승하다 | gyeseunghada
보존하다 | bojonhada
기념하다 | ginyeomhada
기념일 | ginyeomil
기원 | giwon
유래 | yurae
단오 | dano
상징 | sangjing
널뛰기 | neolttwigi
의미 | uimi
뜻깊다 | tteutgipda
역사적 | yeoksajeok
신화 | sinhwa
전설 | jeonseol
옛날이야기 | yennalliyagi
속담 | sokdam
미신 | misin
금기 | geumgi
예술 | yesul
작품 | jakpum
화가 | hwaga
도자기 | dojagi
공예 | gongye
공예품 | gongyepum
서예 | seoye
붓 | but
한지 | hanji
장식 | jangsik
무늬 | muni
색동 | saekdong
무대 | mudae
공연장 | gongyeonjang
무용 | muyong
민요 | minyo
종교 | jonggyo
불교 | bulgyo
기독교 | gidokgyo
스님 | seunim
신앙 | sinang
문화유산 | munhwayusan
다문화 | damunhwa
존중하다 | jonjunghada
웃어른 | udeoreun
공경하다 | gonggyeonghada
효도 | hyodo
효자 | hyoja
절하다 | jeolhada
대접하다 | daejeopada
풍물 | pungmul
농악 | nongak
음력 | eumnyeok
양력 | yangnyeok
절기 | jeolgi
