# theme: Change and trends
# unit: voca-4-u008
변화하다 | byeonhwahada
추세 | chuse
경향 | gyeonghyang
동향 | donghyang
흐름 | heureum
추이 | chui
유행하다 | yuhaenghada
확산 | hwaksan
확산되다 | hwaksandoeda
증가세 | jeunggase
감소세 | gamsose
급증하다 | geupjeunghada
급격하다 | geupgyeokada
급변하다 | geupbyeonhada
차츰 | chacheum
하락하다 | harakada
오름세 | oreumse
내림세 | naerimse
반등 | bandeung
전환 | jeonhwan
뒤바뀌다 | dwibakkwida
전환점 | jeonhwanjeom
발달하다 | baldalhada
퇴보 | toebo
성장 | seongjang
활성화 | hwalseonghwa
확대 | hwakdae
확대되다 | hwakdaedoeda
축소 | chukso
축소되다 | chuksodoeda
회복되다 | hoebokdoeda
변경 | byeongyeong
개편 | gaepyeon
변형 | byeonhyeong
변천 | byeoncheon
높아지다 | nopajida
심해지다 | simhaejida
등장하다 | deungjanghada
출현 | chulhyeon
기성세대 | giseongsedae
세대교체 | sedaegyoche
전망 | jeonmang
격변 | gyeokbyeon
예측하다 | yecheukada
비중 | bijung
지표 | jipyo
정점 | jeongjeom
최고치 | choegochi
최저치 | choejeochi
세계화 | segyehwa
정보화 | jeongbohwa
현대화 | hyeondaehwa
산업화 | saneophwa
대중화 | daejunghwa
보편화 | bopyeonhwa
다양화 | dayanghwa
전통적 | jeontongjeok
현대적 | hyeondaejeok
보수적 | bosujeok
진보적 | jinbojeok
일시적 | ilsijeok
지속적 | jisokjeok
지속되다 | jisokdoeda
유지되다 | yujidoeda
정체 | jeongche
주춤하다 | juchumhada
되살아나다 | doesaranada
부활 | buhwal
쇠퇴 | soetoe
몰락 | mollak
열풍 | yeolpung
신조어 | sinjoeo
선호 | seonho
판도 | pando
선호도 | seonhodo
생활양식 | saenghwallyangsik
시대 | sidae
시대적 | sidaejeok
과도기 | gwadogi
뒤처지다 | dwicheojida
앞서다 | apseoda
따라잡다 | ttarajapda
적응 | jeogeung
추월하다 | chuwolhada
비약적 | biyakjeok
획기적 | hoekgijeok
대폭 | daepok
소폭 | sopok
급감하다 | geupgamhada
둔화 | dunhwa
가속화 | gasokhwa
트렌드 | teurendeu
대세 | daese
탈바꿈 | talbakkum
날로 | nallo
급속히 | geupsoki
서서히 | seoseohi
소멸 | somyeol
증감 | jeunggam
디지털화 | dijiteolhwa
