# theme: Discourse and ideology
# unit: voca-6-u001
사상 | sasang
이데올로기 | ideollogi
헤게모니 | hegemoni
진보주의 | jinbojuui
보수주의 | bosujuui
자유주의 | jayujuui
사회주의 | sahoejuui
공산주의 | gongsanjuui
민족주의 | minjokjuui
국가주의 | gukgajuui
전체주의 | jeonchejuui
권위주의 | gwonwijuui
실용주의 | siryongjuui
합리주의 | hamnijuui
경험주의 | gyeongheomjuui
보편주의 | bopyeonjuui
급진주의 | geupjinjuui
기회주의 | gihoejuui
엘리트주의 | elliteujuui
근본주의 | geunbonjuui
탈근대 | talgeundae
포스트모더니즘 | poseuteumodeonijeum
계몽주의 | gyemongjuui
담화 | damhwa
좌파 | jwapa
우파 | upa
중도 | jungdo
극단주의 | geukdanjuui
진영논리 | jinyeongnolli
선동 | seondong
선전 | seonjeon
프로파간다 | peuropaganda
세뇌 | senoe
교조주의 | gyojojuui
도그마 | dogeuma
독단 | dokdan
맹신 | maengsin
이단 | idan
주류 | juryu
비주류 | bijuryu
대항담론 | daehangdamnon
해체 | haeche
탈식민주의 | talsingminjuui
식민사관 | singminsagwan
오리엔탈리즘 | orientallijeum
문화상대주의 | munhwasangdaejuui
페미니즘 | peminijeum
젠더 | jendeo
혐오 | hyeomo
배타성 | baetaseong
계급투쟁 | gyegeuptujaeng
유물론 | yumullon
반동 | bandong
수구 | sugu
유토피아 | yutopia
프레이밍 | peureiming
편향성 | pyeonhyangseong
중립성 | jungnipseong
논조 | nonjo
대의명분 | daeuimyeongbun
자기검열 | jagigeomyeol
탄압 | tanap
반체제 | bancheje
결속 | gyeolsok
전향 | jeonhyang
변절 | byeonjeol
표방하다 | pyobanghada
배격하다 | baegyeokhada
타파하다 | tapahada
가부장제 | gabujangje
계몽 | gyemong
의식화 | uisikhwa
운동권 | undonggwon
공동체주의 | gongdongchejuui
세속주의 | sesokjuui
국수주의 | guksujuui
사대주의 | sadaejuui
패배주의 | paebaejuui
냉소주의 | naengsojuui
선민의식 | seonminuisik
다원성 | dawonseong
절대주의 | jeoldaejuui
교화 | gyohwa
대중영합 | daejungyeonghap
편가르기 | pyeongareugi
낙인 | nagin
미화하다 | mihwahada
폄훼하다 | pyeomhwehada
신봉하다 | sinbonghada
추종하다 | chujonghada
포섭하다 | poseopada
규합하다 | gyuhapada
결집 | gyeoljip
균열 | gyunyeol
군국주의 | gungukjuui
파시즘 | pasijeum
무정부주의 | mujeongbujuui
물질만능주의 | muljilmanneungjuui
시류 | siryu
색깔론 | saekkkallon
