# theme: Globalization
# unit: voca-5-u005
국제화 | gukjehwa
지구촌 | jiguchon
국경 | gukgyeong
초국적 | chogukjeok
다국적 | dagukjeok
다국적기업 | dagukjeokgieop
자유무역 | jayumuyeok
보호무역 | bohomuyeok
수출입 | suchurip
교역 | gyoyeok
통상 | tongsang
체결하다 | chegyeolhada
비준 | bijun
외교적 | oegyojeok
국제사회 | gukjesahoe
개발도상국 | gaebaldosangguk
신흥국 | sinheungguk
빈국 | bingguk
원조 | wonjo
이주 | iju
이주민 | ijumin
망명 | mangmyeong
귀화 | gwihwa
국적 | gukjeok
이중국적 | ijunggukjeok
유입되다 | yuipdoeda
전파되다 | jeonpadoeda
동질화 | dongjilhwa
표준화 | pyojunhwa
현지화 | hyeonjihwa
토착화 | tochakwa
토착 | tochak
고유성 | goyuseong
제국주의 | jegukjuui
식민지 | singminji
패권 | paegwon
강대국 | gangdaeguk
주권 | jugwon
영토 | yeongto
상호의존 | sanghouijon
상호 | sangho
연계 | yeongye
공급망 | gonggeummang
생산기지 | saengsangiji
진출 | jinchul
진출하다 | jinchulhada
현지 | hyeonji
현지인 | hyeonjiin
외국계 | oegukgye
외자 | oeja
외화 | oehwa
신자유주의 | sinjayujuui
시장경제 | sijanggyeongje
지역화 | jiyeokwa
블록화 | beullokwa
통합 | tonghap
경제통합 | gyeongjetonghap
단일화 | danilhwa
연합 | yeonhap
공조 | gongjo
초국가적 | chogukgajeok
세계시민 | segyesimin
이질감 | ijilgam
이질적 | ijiljeok
동화되다 | donghwadoeda
공존 | gongjon
공존하다 | gongjonhada
다원화 | dawonhwa
다원주의 | dawonjuui
혼종 | honjong
문화권 | munhwagwon
언어권 | eoneogwon
영어권 | yeongeogwon
공용어 | gongyongeo
국제어 | gukjeeo
한류 | hallyu
위상 | wisang
국위 | gugwi
국격 | gukgyeok
협약 | hyeobyak
국제법 | gukjebeop
인도주의 | indojuui
인도적 | indojeok
금융위기 | geumyungwigi
파급효과 | pageupyogwa
여파 | yeopa
불확실성 | bulhwaksilseong
보호주의 | bohojuui
자국 | jaguk
자국민 | jagungmin
탈세계화 | talsegyehwa
반세계화 | bansegyehwa
출입국 | churipguk
체류 | cheryu
체류하다 | cheryuhada
정착하다 | jeongchakada
동포 | dongpo
교포 | gyopo
재외국민 | jaeoegungmin
국제결혼 | gukjegyeolhon
