# theme: Opinions and argument
# unit: voca-4-u007
주장 | jujang
우기다 | ugida
견해 | gyeonhae
견해차 | gyeonhaecha
입장 | ipjang
관점 | gwanjeom
시각 | sigak
논리 | nolli
논리적 | nollijeok
근거하다 | geungeohada
반박 | banbak
따지다 | ttajida
반론 | ballon
찬성 | chanseong
반대하다 | bandaehada
찬반 | chanban
반대편 | bandaepyeon
상대방 | sangdaebang
토론회 | toronhoe
논쟁 | nonjaeng
논란 | nollan
논하다 | nonhada
논점 | nonjeom
쟁점 | jaengjeom
설득 | seoldeuk
설득력 | seoldeungnyeok
납득하다 | napdeukada
동의하다 | donguihada
동조하다 | dongjohada
비판 | bipan
편파적 | pyeonpajeok
비난 | binan
지적 | jijeok
일방적 | ilbangjeok
강조하다 | gangjohada
제기하다 | jegihada
제안하다 | jeanhada
주목하다 | jumokada
인정하다 | injeonghada
부정하다 | bujeonghada
부인하다 | buinhada
시인하다 | siinhada
객관적 | gaekgwanjeok
주관적 | jugwanjeok
객관성 | gaekgwanseong
타당하다 | tadanghada
타당성 | tadangseong
신뢰성 | silloeseong
불합리하다 | bulhamnihada
일리 | illi
억지 | eokji
전제 | jeonje
예외 | yeoe
사례 | sarye
측면 | cheungmyeon
대안 | daean
의의 | uiui
가치관 | gachigwan
신념 | sinnyeom
확신 | hwaksin
의문 | uimun
의심하다 | uisimhada
의혹 | uihok
이의 | iui
반발 | banbal
항의 | hangui
지지 | jiji
공감대 | gonggamdae
옹호하다 | onghohada
대립 | daerip
충돌 | chungdol
타협 | tahyeop
절충 | jeolchung
양보 | yangbo
해석 | haeseok
토의 | toui
판단하다 | pandanhada
평가하다 | pyeonggahada
언쟁 | eonjaeng
고려하다 | goryeohada
언급하다 | eongeupada
발언 | bareon
밝히다 | balkida
내세우다 | naeseuda
맞서다 | matseoda
받아들이다 | badadeurida
수용하다 | suyonghada
거부하다 | geobuhada
마땅하다 | mattanghada
바람직하다 | baramjikada
모순 | mosun
허점 | heojeom
오류 | oryu
착각 | chakgak
왜곡 | waegok
단정하다 | danjeonghada
일반화 | ilbanhwa
요지 | yoji
요점 | yojeom
취지 | chwiji
