# theme: Connectives for reading
# unit: voca-3-u010
그러므로 | geureomeuro
따라서 | ttaraseo
그러나 | geureona
그런데도 | geureondedo
그럼에도 | geureomedo
오히려 | ohiryeo
게다가 | gedaga
더구나 | deoguna
더군다나 | deogundana
또한 | ttohan
및 | mit
혹은 | hogeun
또는 | ttoneun
즉 | jeuk
예컨대 | yekeondae
가령 | garyeong
이를테면 | ireultemyeon
반면 | banmyeon
반대로 | bandaero
한편 | hanpyeon
그렇다면 | geureotamyeon
만일 | manil
설령 | seollyeong
비록 | birok
하물며 | hamulmyeo
요컨대 | yokeondae
결론적으로 | gyeollonjeogeuro
그러자 | geureoja
그러다가 | geureodaga
다음으로 | daeumeuro
끝으로 | kkeuteuro
마지막으로 | majimageuro
첫째 | cheotjae
둘째 | duljae
셋째 | setjae
아울러 | aulleo
나아가 | naaga
더욱이 | deougi
심지어 | simjieo
오직 | ojik
오로지 | oroji
단지 | danji
다만 | daman
비단 | bidan
물론 | mullon
사실 | sasil
실제로 | siljero
사실상 | sasilsang
당연히 | dangyeonhi
어차피 | eochapi
어쨌든 | eojjaetdeun
아무튼 | amuteun
하여튼 | hayeoteun
여하튼 | yeohateun
그나저나 | geunajeona
말하자면 | malhajamyeon
이른바 | ireunba
소위 | sowi
이처럼 | icheoreom
이렇듯 | ireotdeut
이로써 | iroseo
이에 | ie
그래도 | geuraedo
그리하여 | geurihayeo
그러기에 | geureogie
그러니 | geureoni
대신 | daesin
차라리 | charari
도리어 | dorieo
역시 | yeoksi
마찬가지로 | machangajiro
달리 | dalli
대체로 | daechero
대개 | daegae
일반적으로 | ilbanjeogeuro
상대적으로 | sangdaejeogeuro
비교적 | bigyojeok
주로 | juro
흔히 | heunhi
결코 | gyeolko
반드시 | bandeusi
틀림없이 | teullimeopsi
어쩌면 | eojjeomyeon
과연 | gwayeon
도대체 | dodaeche
하필 | hapil
굳이 | guji
미처 | micheo
비로소 | biroso
여전히 | yeojeonhi
한마디로 | hanmadiro
앞서 | apseo
그렇다고 | geureotago
그러면서 | geureomyeonseo
그만큼 | geumankeum
한층 | hancheung
한결 | hangyeol
그야말로 | geuyamallo
이어서 | ieoseo
뒤이어 | dwiieo
