# theme: Feelings and personality
# unit: voca-2-u006
기분 | gibun
화나다 | hwanada
화 | hwa
괴롭다 | goeropda
외롭다 | oeropda
심심하다 | simsimhada
지루하다 | jiruhada
놀라다 | nollada
걱정하다 | geokjeonghada
걱정 | geokjeong
걱정되다 | geokjeongdoeda
긴장하다 | ginjanghada
부끄럽다 | bukkeureopda
창피하다 | changpihada
부럽다 | bureopda
섭섭하다 | seopseopada
서운하다 | seounhada
아쉽다 | aswipda
속상하다 | soksanghada
답답하다 | dapdapada
편안하다 | pyeonanhada
신나다 | sinnada
설레다 | seolleda
감동하다 | gamdonghada
감동 | gamdong
기대되다 | gidaedoeda
실망하다 | silmanghada
만족하다 | manjokada
귀찮다 | gwichanta
짜증 | jjajeung
짜증나다 | jjajeungnada
미워하다 | miwohada
밉다 | mipda
그립다 | geuripda
그리워하다 | geuriwohada
당황하다 | danghwanghada
놀랍다 | nollapda
두렵다 | duryeopda
안심하다 | ansimhada
마음 | maeum
성격 | seonggyeok
상냥하다 | sangnyanghada
활발하다 | hwalbalhada
밝다 | bakda
얌전하다 | yamjeonhada
부지런하다 | bujireonhada
게으르다 | geeureuda
성실하다 | seongsilhada
솔직하다 | soljikada
정직하다 | jeongjikada
겸손하다 | gyeomsonhada
꼼꼼하다 | kkomkkomhada
급하다 | geupada
느긋하다 | neugeutada
차분하다 | chabunhada
씩씩하다 | ssikssikada
용감하다 | yonggamhada
똑똑하다 | ttokttokada
웃기다 | utgida
예의 | yeui
고집 | gojip
욕심 | yoksim
화내다 | hwanaeda
웃음 | useum
눈물 | nunmul
울음 | ureum
미소 | miso
행복 | haengbok
슬픔 | seulpeum
기쁨 | gippeum
즐거움 | jeulgeoum
외로움 | oeroum
부담 | budam
스트레스 | seuteureseu
위로하다 | wirohada
칭찬하다 | chingchanhada
칭찬 | chingchan
후회하다 | huhoehada
참다 | chamda
놀리다 | nollida
싸우다 | ssauda
화해하다 | hwahaehada
믿다 | mitda
친하다 | chinhada
다정하다 | dajeonghada
무뚝뚝하다 | muttukttukada
수줍다 | sujupda
엄하다 | eomhada
까다롭다 | kkadaropda
예민하다 | yeminhada
장점 | jangjeom
단점 | danjeom
태도 | taedo
표정 | pyojeong
느낌 | neukkim
느끼다 | neukkida
궁금하다 | gunggeumhada
우울하다 | uulhada
자신감 | jasingam
부드럽다 | budeureopda
