# theme: Environment
# unit: voca-3-u002
환경 | hwangyeong
환경오염 | hwangyeongoyeom
오염 | oyeom
오염되다 | oyeomdoeda
미세먼지 | misemeonji
황사 | hwangsa
수질 | sujil
토양 | toyang
분리수거 | bullisugeo
재활용 | jaehwaryong
일회용품 | ilhoeyongpum
비닐봉지 | binilbongji
플라스틱 | peullaseutik
종이컵 | jongikeop
음식물 | eumsingmul
배출하다 | baechulhada
배출 | baechul
배기가스 | baegigaseu
매연 | maeyeon
탄소 | tanso
이산화탄소 | isanhwatanso
온실가스 | onsilgaseu
온난화 | onnanhwa
기후 | gihu
상승하다 | sangseunghada
해수면 | haesumyeon
빙하 | bingha
가뭄 | gamum
홍수 | hongsu
폭염 | pogyeom
폭우 | pogu
폭설 | pokseol
산불 | sanbul
자연재해 | jayeonjaehae
재해 | jaehae
피해 | pihae
자연환경 | jayeonhwangyeong
생태계 | saengtaegye
동식물 | dongsingmul
멸종 | myeoljong
멸종되다 | myeoljongdoeda
보호 | boho
보호하다 | bohohada
산림 | sallim
심다 | simda
에너지 | eneoji
절약하다 | jeoryakada
낭비 | nangbi
낭비하다 | nangbihada
전력 | jeollyeok
석유 | seogyu
석탄 | seoktan
자원 | jawon
천연자원 | cheonyeonjawon
원자력 | wonjaryeok
태양열 | taeyangnyeol
태양광 | taeyanggwang
풍력 | pungnyeok
친환경 | chinhwangyeong
분해되다 | bunhaedoeda
썩다 | sseokda
유해하다 | yuhaehada
해롭다 | haeropda
해치다 | haechida
악화되다 | akwadoeda
심각하다 | simgakada
사용량 | sayongnyang
쓰레기봉투 | sseuregibongtu
종량제 | jongnyangje
수거하다 | sugeohada
장바구니 | jangbaguni
텀블러 | teombeulleo
포장재 | pojangjae
캠페인 | kaempein
실천하다 | silcheonhada
동참하다 | dongchamhada
오존층 | ojoncheung
자외선 | jaoeseon
산성비 | sanseongbi
하천 | hacheon
해양 | haeyang
갯벌 | gaetbeol
습지 | seupji
사막 | samak
사막화 | samakwa
공해 | gonghae
소음 | soeum
악취 | akchwi
하수 | hasu
폐수 | pyesu
폐기물 | pyegimul
정화하다 | jeonghwahada
공기청정기 | gonggicheongjeonggi
산소 | sanso
야생 | yasaeng
서식지 | seosikji
녹색 | noksaek
전기차 | jeongicha
연료 | yeollyo
위기 | wigi
