# theme: School and work life
# unit: voca-2-u007
수업 | sueop
시험 | siheom
성적 | seongjeok
문제 | munje
질문 | jilmun
질문하다 | jilmunhada
대답 | daedap
설명 | seolmyeong
설명하다 | seolmyeonghada
연습 | yeonseup
연습하다 | yeonseupada
복습하다 | bokseupada
예습하다 | yeseupada
발표 | balpyo
발표하다 | balpyohada
준비물 | junbimul
교과서 | gyogwaseo
사전 | sajeon
필통 | piltong
칠판 | chilpan
입학 | ipak
입학하다 | ipakada
졸업 | joreop
졸업하다 | joreopada
학기 | hakgi
학년 | hangnyeon
전공 | jeongong
전공하다 | jeongonghada
과목 | gwamok
유학 | yuhak
유학생 | yuhaksaeng
강의 | gangui
강의실 | ganguisil
교수 | gyosu
선배 | seonbae
후배 | hubae
동료 | dongnyo
출석 | chulseok
결석하다 | gyeolseokada
지각하다 | jigakada
장학금 | janghakgeum
등록금 | deungnokgeum
외우다 | oeuda
틀리다 | teullida
쓰기 | sseugi
읽기 | ilgi
듣기 | deutgi
말하기 | malhagi
늘다 | neulda
노력 | noryeok
노력하다 | noryeokada
합격하다 | hapgyeokada
직장 | jikjang
사장 | sajang
부장 | bujang
과장 | gwajang
직원 | jigwon
회의 | hoeui
회의실 | hoeuisil
출장 | chuljang
야근 | yageun
월급 | wolgeup
취직 | chwijik
취직하다 | chwijikada
그만두다 | geumanduda
면접 | myeonjeop
경력 | gyeongnyeok
이력서 | iryeokseo
복사하다 | boksahada
복사기 | boksagi
명함 | myeongham
보고서 | bogoseo
아르바이트 | areubaiteu
시급 | sigeup
맡다 | matda
마치다 | machida
책임 | chaegim
이메일 | imeil
동아리 | dongari
교복 | gyobok
시간표 | siganpyo
점심시간 | jeomsimsigan
체육 | cheyuk
수학 | suhak
과학 | gwahak
역사 | yeoksa
미술 | misul
학생증 | haksaengjeung
신입생 | sinipsaeng
팀장 | timjang
회식 | hoesik
출근 | chulgeun
퇴근 | toegeun
입사하다 | ipsahada
월급날 | wolgeumnal
휴학하다 | hyuhakada
학비 | hakbi
반장 | banjang
근무하다 | geunmuhada
출석하다 | chulseokada
