# theme: Food and eating out
# unit: voca-1-u003
음식 | eumsik
밥 | bap
빵 | ppang
쌀 | ssal
김치 | gimchi
불고기 | bulgogi
비빔밥 | bibimbap
김밥 | gimbap
라면 | ramyeon
냉면 | naengmyeon
떡볶이 | tteokbokki
떡 | tteok
갈비 | galbi
삼겹살 | samgyeopsal
삼계탕 | samgyetang
찌개 | jjigae
김치찌개 | gimchijjigae
된장찌개 | doenjangjjigae
국 | guk
반찬 | banchan
고기 | gogi
소고기 | sogogi
돼지고기 | dwaejigogi
닭고기 | dakgogi
생선 | saengseon
계란 | gyeran
두부 | dubu
야채 | yachae
채소 | chaeso
감자 | gamja
고구마 | goguma
양파 | yangpa
당근 | danggeun
오이 | oi
토마토 | tomato
마늘 | maneul
고추 | gochu
버섯 | beoseot
과일 | gwail
사과 | sagwa
배 | bae
바나나 | banana
딸기 | ttalgi
포도 | podo
수박 | subak
귤 | gyul
물 | mul
우유 | uyu
커피 | keopi
차 | cha
녹차 | nokcha
주스 | juseu
콜라 | kolla
음료수 | eumnyosu
맥주 | maekju
술 | sul
소주 | soju
케이크 | keikeu
과자 | gwaja
아이스크림 | aiseukeurim
햄버거 | haembeogeo
피자 | pija
치킨 | chikin
샌드위치 | saendeuwichi
샐러드 | saelleodeu
도시락 | dosirak
설탕 | seoltang
소금 | sogeum
간장 | ganjang
고추장 | gochujang
맛 | mat
맛있다 | masitda
맛없다 | madeopda
달다 | dalda
맵다 | maepda
짜다 | jjada
싱겁다 | singgeopda
뜨겁다 | tteugeopda
차갑다 | chagapda
배고프다 | baegopeuda
배부르다 | baebureuda
먹다 | meokda
마시다 | masida
드시다 | deusida
식사 | siksa
아침밥 | achimbap
저녁밥 | jeonyeokbap
간식 | gansik
요리 | yori
만두 | mandu
굽다 | gupda
끓이다 | kkeurida
식당 | sikdang
카페 | kape
빵집 | ppangjip
메뉴 | menyu
주문하다 | jumunhada
시키다 | sikida
숟가락 | sutgarak
젓가락 | jeotgarak
