# theme: Four-character hanja idioms
# unit: voca-6-u010
각골난망 | gakgollanmang
감언이설 | gameoniseol
감탄고토 | gamtangoto
개과천선 | gaegwacheonseon
거두절미 | geodujeolmi
격세지감 | gyeoksejigam
견강부회 | gyeongangbuhoe
결자해지 | gyeoljahaeji
결초보은 | gyeolchoboeun
고진감래 | gojingamnae
과유불급 | gwayubulgeup
괄목상대 | gwalmoksangdae
교각살우 | gyogaksaru
구우일모 | guuilmo
권선징악 | gwonseonjingak
금상첨화 | geumsangcheomhwa
기사회생 | gisahoesaeng
남가일몽 | namgailmong
낭중지추 | nangjungjichu
노심초사 | nosimchosa
누란지위 | nuranjiwi
다다익선 | dadaikseon
대기만성 | daegimanseong
동병상련 | dongbyeongsangnyeon
동상이몽 | dongsangimong
두문불출 | dumunbulchul
등하불명 | deunghabulmyeong
마이동풍 | maidongpung
망양지탄 | mangyangjitan
명불허전 | myeongbulheojeon
목불인견 | mokburingyeon
무위도식 | muwidosik
문전성시 | munjeonseongsi
미사여구 | misayeogu
박학다식 | bakakdasik
반면교사 | banmyeongyosa
발본색원 | balbonsaegwon
백년대계 | baengnyeondaegye
백척간두 | baekcheokgandu
부화뇌동 | buhwanoedong
분골쇄신 | bungolswaesin
사면초가 | samyeonchoga
사상누각 | sasangnugak
사필귀정 | sapilgwijeong
산전수전 | sanjeonsujeon
살신성인 | salsinseongin
새옹지마 | saeongjima
설상가상 | seolsanggasang
속수무책 | soksumuchaek
수구초심 | suguchosim
수수방관 | susubanggwan
순망치한 | sunmangchihan
시시비비 | sisibibi
신출귀몰 | sinchulgwimol
아전인수 | ajeoninsu
안하무인 | anhamuin
약육강식 | yagyukgangsik
어부지리 | eobujiri
언중유골 | eonjungyugol
역지사지 | yeokjisaji
오리무중 | orimujung
오비이락 | obiirak
온고지신 | ongojisin
와신상담 | wasinsangdam
외유내강 | oeyunaegang
용두사미 | yongdusami
우공이산 | ugongisan
유비무환 | yubimuhwan
이심전심 | isimjeonsim
인과응보 | ingwaeungbo
일거양득 | ilgeoyangdeuk
일취월장 | ilchwiwoljang
일사천리 | ilsacheolli
임기응변 | imgieungbyeon
자가당착 | jagadangchak
자승자박 | jaseungjabak
자포자기 | japojagi
장삼이사 | jangsamisa
적반하장 | jeokbanhajang
전대미문 | jeondaemimun
전화위복 | jeonhwawibok
절치부심 | jeolchibusim
조삼모사 | josammosa
좌고우면 | jwagoumyeon
주객전도 | jugaekjeondo
죽마고우 | jungmagou
중구난방 | junggunanbang
지록위마 | jirogwima
진퇴양난 | jintoeyangnan
천고마비 | cheongomabi
천재일우 | cheonjaeiru
청출어람 | cheongchureoram
초지일관 | chojiilgwan
촌철살인 | choncheolsarin
침소봉대 | chimsobongdae
탁상공론 | taksanggongnon
타산지석 | tasanjiseok
태평성대 | taepyeongseongdae
토사구팽 | tosagupaeng
파죽지세 | pajukjise
