# theme: Cause, effect and results
# unit: voca-3-u009
원인 | wonin
결과 | gyeolgwa
영향 | yeonghyang
효과 | hyogwa
역효과 | yeokyogwa
악영향 | agyeonghyang
결론 | gyeollon
결말 | gyeolmal
원리 | wolli
근거 | geungeo
증거 | jeunggeo
계기 | gyegi
배경 | baegyeong
요인 | yoin
발생 | balsaeng
까닭 | kkadak
일으키다 | ireukida
초래하다 | choraehada
유발하다 | yubalhada
불러일으키다 | bulleoireukida
비롯되다 | birotdoeda
변화 | byeonhwa
변하다 | byeonhada
달라지다 | dallajida
변동 | byeondong
증가 | jeungga
직접적 | jikjeopjeok
감소 | gamso
간접적 | ganjeopjeok
급증 | geupjeung
급감 | geupgam
늘어나다 | neureonada
줄어들다 | jureodeulda
상승 | sangseung
하락 | harak
악화 | akwa
개선 | gaeseon
개선되다 | gaeseondoeda
향상 | hyangsang
향상되다 | hyangsangdoeda
발전 | baljeon
성공 | seonggong
실패 | silpae
결실 | gyeolsil
효과적 | hyogwajeok
마침내 | machimnae
덕분 | deokbun
문제점 | munjejeom
해결 | haegyeol
단서 | danseo
해결책 | haegyeolchaek
대책 | daechaek
방안 | bangan
대처하다 | daecheohada
대응 | daeeung
반응 | baneung
작용 | jagyong
관련 | gwallyeon
관련되다 | gwallyeondoeda
연관 | yeongwan
의존 | uijon
좌우하다 | jwauhada
미치다 | michida
끼치다 | kkichida
가져오다 | gajyeooda
낳다 | nata
이끌다 | ikkeulda
연결되다 | yeongyeoldoeda
반영하다 | banyeonghada
결정 | gyeoljeong
결정되다 | gyeoljeongdoeda
판단 | pandan
분석 | bunseok
소용없다 | soyongeopda
조사 | josa
불가피하다 | bulgapihada
예측 | yecheuk
예상 | yesang
예상되다 | yesangdoeda
추측 | chucheuk
가능성 | ganeungseong
확률 | hwangnyul
위험 | wiheom
위험성 | wiheomseong
심각성 | simgakseong
긍정적 | geungjeongjeok
부정적 | bujeongjeok
뜻밖 | tteutbak
의외 | uioe
우연 | uyeon
당연하다 | dangyeonhada
저절로 | jeojeollo
자연히 | jayeonhi
점차 | jeomcha
갈수록 | galsurok
급격히 | geupgyeoki
꾸준히 | kkujunhi
완전히 | wanjeonhi
결과물 | gyeolgwamul
대가 | daega
