# theme: Research and methodology
# unit: voca-5-u004
연구진 | yeongujin
방법론 | bangbeomnon
가정하다 | gajeonghada
검증하다 | geomjeunghada
입증하다 | ipjeunghada
실증 | siljeung
실증적 | siljeungjeok
규명하다 | gyumyeonghada
분석적 | bunseokjeok
표본 | pyobon
추출하다 | chuchulhada
변수 | byeonsu
실험군 | silheomgun
대조군 | daejogun
설문지 | seolmunji
응답자 | eungdapja
피험자 | piheomja
면담 | myeondam
척도 | cheokdo
통계적 | tonggyejeok
유의미하다 | yuuimihada
상관관계 | sanggwangwangye
인과관계 | ingwagwangye
상관성 | sanggwanseong
연관성 | yeongwanseong
분포 | bunpo
평균치 | pyeonggyunchi
편차 | pyeoncha
정확도 | jeonghwakdo
신뢰도 | silloedo
타당도 | tadangdo
재현성 | jaehyeonseong
정량적 | jeongnyangjeok
정성적 | jeongseongjeok
귀납 | gwinap
연역 | yeonyeok
귀납적 | gwinapjeok
연역적 | yeonyeokjeok
추론 | churon
선행연구 | seonhaengyeongu
도출하다 | dochulhada
결론짓다 | gyeollonjitda
고찰하다 | gochalhada
탐구하다 | tamguhada
문헌 | munheon
인용하다 | inyonghada
출처 | chulcheo
참고문헌 | chamgomunheon
각주 | gakju
학위논문 | hagwinonmun
학술지 | haksulji
게재하다 | gejaehada
학회 | hakoe
연구비 | yeongubi
표절 | pyojeol
위조 | wijo
조작 | jojak
시료 | siryo
시행착오 | sihaengchago
대상자 | daesangja
표집 | pyojip
모집단 | mojipdan
설계하다 | seolgyehada
체계적 | chegyejeok
일반화하다 | ilbanhwahada
한계점 | hangyejeom
시사점 | sisajeom
함의 | hamui
기여하다 | giyeohada
선구적 | seongujeok
독창성 | dokchangseong
이론적 | ironjeok
모형 | mohyeong
분류하다 | bullyuhada
범주 | beomju
범주화 | beomjuhwa
유형화 | yuhyeonghwa
대조하다 | daejohada
상이하다 | sangihada
유사성 | yusaseong
재검토 | jaegeomto
기제 | gije
변인 | byeonin
독립변수 | dongnipbyeonsu
종속변수 | jongsokbyeonsu
추정하다 | chujeonghada
추정치 | chujeongchi
산출하다 | sanchulhada
수치화 | suchihwa
계량 | gyeryang
정밀하다 | jeongmilhada
정교하다 | jeonggyohada
방대하다 | bangdaehada
전수조사 | jeonsujosa
표본조사 | pyobonjosa
심층 | simcheung
융합 | yunghap
학문적 | hangmunjeok
연구자 | yeonguja
착수하다 | chaksuhada
