# theme: Hobbies and weekends
# unit: voca-2-u005
여가 | yeoga
등산 | deungsan
등산복 | deungsanbok
낚시 | naksi
뜨개질 | tteugaejil
텐트 | tenteu
테니스 | teniseu
탁구 | takgu
배드민턴 | baedeuminteon
볼링 | bolling
골프 | golpeu
야구 | yagu
농구 | nonggu
배구 | baegu
스케이트 | seukeiteu
요가 | yoga
헬스장 | helseujang
조깅 | joging
마라톤 | maraton
달리기 | dalligi
줄넘기 | julleomgi
태권도 | taegwondo
경기장 | gyeonggijang
산책 | sanchaek
춤 | chum
악기 | akgi
피아노 | piano
기타 | gita
바이올린 | baiollin
드럼 | deureom
연주하다 | yeonjuhada
그리다 | geurida
찍다 | jjikda
연극 | yeongeuk
뮤지컬 | myujikeol
공연 | gongyeon
콘서트 | konseoteu
음악회 | eumakoe
전시회 | jeonsihoe
예매 | yemae
입장권 | ipjanggwon
관람하다 | gwallamhada
관객 | gwangaek
감독 | gamdok
팬 | paen
인기 | ingi
유명하다 | yumyeonghada
드라마 | deurama
프로그램 | peurogeuraem
방송 | bangsong
독서 | dokseo
소설 | soseol
만화 | manhwa
만화책 | manhwachaek
식물 | singmul
화분 | hwabun
키우다 | kiuda
기르다 | gireuda
반려동물 | ballyeodongmul
강아지 | gangaji
동호회 | donghohoe
회원 | hoewon
가입하다 | gaipada
불꽃놀이 | bulkkonnori
축제 | chukje
낮잠 | natjam
빨래 | ppallae
설거지 | seolgeoji
정리하다 | jeongnihada
외식 | oesik
나들이 | nadeuri
즐기다 | jeulgida
흥미 | heungmi
관심 | gwansim
실력 | sillyeok
경기 | gyeonggi
시합 | sihap
이기다 | igida
응원하다 | eungwonhada
선수 | seonsu
팀 | tim
점수 | jeomsu
규칙 | gyuchik
공 | gong
바둑 | baduk
수집 | sujip
모으다 | moeuda
대회 | daehoe
참여하다 | chamyeohada
사진 | sajin
축구 | chukgu
영화 | yeonghwa
사진기 | sajingi
캠핑장 | kaempingjang
야외 | yaoe
드라이브 | deuraibeu
운동하다 | undonghada
캠핑하다 | kaempinghada
스키장 | seukijang
볼링장 | bollingjang
