# theme: Hedging and emphasis
# unit: voca-5-u011
다소 | daso
상당히 | sangdanghi
추측하다 | chucheukada
불과하다 | bulgwahada
단연코 | danyeonko
단호하다 | danhohada
명백하다 | myeongbaekada
확연하다 | hwagyeonhada
뚜렷하다 | tturyeotada
현저하다 | hyeonjeohada
현저히 | hyeonjeohi
월등히 | woldeunghi
유난히 | yunanhi
유달리 | yudalli
각별히 | gakbyeolhi
극히 | geuki
지극히 | jigeuki
가히 | gahi
필연적 | piryeonjeok
실질적 | siljiljeok
일견 | ilgyeon
얼핏 | eolpit
언뜻 | eontteut
대략 | daeryak
어림잡다 | eorimjapda
다분히 | dabunhi
자못 | jamot
사뭇 | samut
전반적 | jeonbanjeok
부분적 | bubunjeok
상대적 | sangdaejeok
절대적 | jeoldaejeok
원칙적 | wonchikjeok
잠정적 | jamjeongjeok
단언하다 | daneonhada
장담하다 | jangdamhada
극구 | geukgu
부각하다 | bugakada
두드러지다 | dudeureojida
과장하다 | gwajanghada
완곡하다 | wangokada
에두르다 | edureuda
모호하다 | mohohada
애매하다 | aemaehada
불확실하다 | bulhwaksilhada
막연하다 | magyeonhada
신빙성 | sinbingseong
유력하다 | yuryeokada
여지 | yeoji
소지 | soji
기필코 | gipilko
결단코 | gyeoldanko
추호도 | chuhodo
일절 | iljeol
적잖이 | jeokjani
십중팔구 | sipjungpalgu
필시 | pilsi
응당 | eungdang
마땅히 | mattanghi
모름지기 | moreumjigi
여실히 | yeosilhi
명확히 | myeonghwaki
역력하다 | yeongnyeokada
엄밀히 | eommilhi
누누이 | nunui
구태여 | gutaeyeo
미미하다 | mimihada
근소하다 | geunsohada
막대하다 | makdaehada
지대하다 | jidaehada
방점 | bangjeom
역점 | yeokjeom
주안점 | juanjeom
관건 | gwangeon
오롯이 | orosi
시사하다 | sisahada
암시하다 | amsihada
넌지시 | neonjisi
우회적 | uhoejeok
직설적 | jikseoljeok
노골적 | nogoljeok
유보하다 | yubohada
짐작하다 | jimjakada
더더욱 | deodeouk
절실하다 | jeolsilhada
확고하다 | hwakgohada
엄연하다 | eomyeonhada
짐작건대 | jimjakgeondae
하등 | hadeung
압도적 | apdojeok
결정적 | gyeoljeongjeok
확실시되다 | hwaksilsidoeda
의문시되다 | uimunsidoeda
미심쩍다 | misimjjeokda
석연찮다 | seogyeonchanta
속단하다 | sokdanhada
혹여 | hogyeo
행여 | haengyeo
극도로 | geukdoro
유례없다 | yuryeeopda
