# theme: Welfare and inequality
# unit: voca-5-u006
빈부 격차 | binbu gyeokcha
소외 계층 | soe gyecheung
취약 계층 | chwiyak gyecheung
사회 안전망 | sahoe anjeonmang
기초 생활 수급자 | gicho saenghwal sugeupja
수급 | sugeup
기초 연금 | gicho yeongeum
최저 임금 | choejeo imgeum
최저 생계비 | choejeo saenggyebi
생계 | saenggye
빈민 | binmin
빈곤층 | bingoncheung
고소득층 | gosodeukcheung
중산층 | jungsancheung
계급 | gyegeup
격차 | gyeokcha
소득 분배 | sodeuk bunbae
재분배 | jaebunbae
누진세 | nujinse
형평성 | hyeongpyeongseong
불공평하다 | bulgongpyeonghada
박탈감 | baktalgam
상대적 박탈감 | sangdaejeok baktalgam
열악하다 | yeorakada
궁핍하다 | gungpipada
빈곤하다 | bingonhada
구제 | guje
실업 급여 | sireop geubyeo
국민연금 | gungminyeongeum
사회 보장 | sahoe bojang
의료 보장 | uiryo bojang
무상 급식 | musang geupsik
보편적 복지 | bopyeonjeok bokji
선별적 복지 | seonbyeoljeok bokji
자선 | jaseon
노숙인 | nosugin
결식아동 | gyeolsigadong
비장애인 | bijangaein
부양 | buyang
부양가족 | buyanggajok
요양 시설 | yoyang siseol
차등 | chadeung
균등하다 | gyundeunghada
기회균등 | gihoegyundeung
세습 | seseup
대물림 | daemullim
불로소득 | bullosodeuk
지니 계수 | jini gyesu
계층 이동 | gyecheung idong
신분 | sinbun
기득권 | gideukgwon
특권 | teukgwon
수혜 | suhye
수혜자 | suhyeja
배제 | baeje
사회 통합 | sahoe tonghap
연대 | yeondae
상생 | sangsaeng
사회적 약자 | sahoejeok yakja
퇴치 | toechi
절대 빈곤 | jeoldae bingon
상대 빈곤 | sangdae bingon
결핍 | gyeolpip
굶주림 | gumjurim
노동권 | nodonggwon
임금 격차 | imgeum gyeokcha
착취 | chakchwi
처우 | cheou
생존권 | saengjongwon
주거 빈곤 | jugeo bingon
임대 주택 | imdae jutaek
재원 | jaewon
세수 | sesu
감세 | gamse
납세 | napse
과세 | gwase
부유세 | buyuse
부유층 | buyucheung
서민 | seomin
영세하다 | yeongsehada
자립 | jarip
자활 | jahwal
탈빈곤 | talbingon
외면하다 | oemyeonhada
심화되다 | simhwadoeda
고착화 | gochakwa
박탈하다 | baktalhada
빈곤율 | bingonyul
사회 복지사 | sahoe bokjisa
복지 국가 | bokji gukga
복지 사각지대 | bokji sagakjidae
빈곤 대물림 | bingon daemullim
소득 양극화 | sodeuk yanggeukwa
차상위 계층 | chasangwi gyecheung
긴급 복지 | gingeup bokji
생계 급여 | saenggye geubyeo
주거 급여 | jugeo geubyeo
의료 급여 | uiryo geubyeo
기본 소득 | gibon sodeuk
근로 장려금 | geullo jangnyeogeum
