# theme: Literature and history
# unit: voca-6-u007
서사시 | seosasi
서정시 | seojeongsi
산문 | sanmun
운문 | unmun
직유 | jigyu
반어 | baneo
복선 | bokseon
암시 | amsi
화자 | hwaja
서술자 | seosulja
시점 | sijeom
일인칭 | irinching
전지적 | jeonjijeok
대단원 | daedanwon
액자소설 | aekjasoseol
희곡 | huigok
심상 | simsang
시어 | sieo
시구 | sigu
행간 | haenggan
각운 | gagun
음보 | eumbo
율격 | yulgyeok
향가 | hyangga
시조 | sijo
설화 | seolhwa
민담 | mindam
구비문학 | gubimunhak
필사본 | pilsabon
판본 | panbon
초판 | chopan
탈고 | talgo
퇴고 | toego
등단 | deungdan
필명 | pilmyeong
작품세계 | jakpumsegye
자전적 | jajeonjeok
회고록 | hoegorok
평전 | pyeongjeon
원형 | wonhyeong
변주 | byeonju
계승 | gyeseung
애상 | aesang
비장미 | bijangmi
숭고미 | sunggomi
골계미 | golgyemi
사료 | saryo
사관 | sagwan
실록 | sillok
연대기 | yeondaegi
편찬 | pyeonchan
고증 | gojeung
발굴 | balgul
출토 | chulto
선사시대 | seonsasidae
청동기 | cheongdonggi
철기 | cheolgi
왕조 | wangjo
융성 | yungseong
중흥 | jungheung
즉위 | jeugwi
폐위 | pyewi
섭정 | seopjeong
왕권 | wanggwon
붕당 | bungdang
사화 | sahwa
탕평책 | tangpyeongchaek
실학 | silhak
신분제 | sinbunje
과거제 | gwageoje
관료 | gwallyo
향촌 | hyangchon
봉건 | bonggeon
조공 | jogong
책봉 | chaekbong
외척 | oecheok
개항 | gaehang
개화 | gaehwa
쇄국 | swaeguk
수탈 | sutal
항일 | hangil
독립운동 | dongnibundong
의병 | uibyeong
광복 | gwangbok
근대화 | geundaehwa
민주화 | minjuhwa
계엄 | gyeeom
봉기 | bonggi
민란 | millan
역모 | yeongmo
사대부 | sadaebu
선비 | seonbi
문집 | munjip
금석문 | geumseongmun
족보 | jokbo
계보 | gyebo
시대상 | sidaesang
알레고리 | allegori
우의 | uui
신소설 | sinsoseol
