# theme: Law and justice
# unit: voca-6-u003
위헌 | wiheon
합헌 | hapheon
탄핵 | tanhaek
기소 | giso
불기소 | bulgiso
기소유예 | gisoyuye
공소 | gongso
공소시효 | gongsosihyo
상고 | sanggo
상소 | sangso
재심 | jaesim
파기환송 | pagihwansong
판결문 | pangyeolmun
구형 | guhyeong
집행유예 | jiphaengyuye
가석방 | gaseokbang
사면 | samyeon
감형 | gamhyeong
벌금형 | beolgeumhyeong
사형제 | sahyeongje
무기징역 | mugijingyeok
구속영장 | gusongnyeongjang
체포영장 | chepoyeongjang
압수수색 | apsususaek
묵비권 | mukbigwon
자백 | jabaek
증거인멸 | jeunggeoinmyeol
위증 | wijeung
무죄추정 | mujoechujeong
양형 | yanghyeong
삼권분립 | samgwonbullip
법치주의 | beopchijuui
죄형법정주의 | joehyeongbeopjeongjuui
소급 | sogeup
법리 | beomni
입법 | ibeop
행정소송 | haengjeongsosong
위자료 | wijaryo
채권 | chaegwon
채무 | chaemu
저당권 | jeodanggwon
가압류 | gaamnyu
압류 | amnyu
강제집행 | gangjejiphaeng
점유 | jeomyu
친권 | chingwon
양육권 | yangyukgwon
후견인 | hugyeonin
모욕죄 | moyokjoe
사기죄 | sagijoe
횡령 | hoengnyeong
배임 | baeim
뇌물수수 | noemulsusu
알선 | alseon
청탁 | cheongtak
직권남용 | jikgwonnamyong
과실치사 | gwasilchisa
미수 | misu
공범 | gongbeom
방조 | bangjo
초범 | chobeom
재범 | jaebeom
출소 | chulso
보호관찰 | bohogwanchal
적법 | jeokbeop
법망 | beommang
사법정의 | sabeopjeongui
법조계 | beopjogye
법조인 | beopjoin
전관예우 | jeongwanyeu
공권력 | gonggwonnyeok
소추 | sochu
관할 | gwanhal
원심 | wonsim
확정판결 | hwakjeongpangyeol
기각 | gigak
각하 | gakha
변론 | byeollon
공판 | gongpan
판시 | pansi
법정구속 | beopjeonggusok
입증 | ipjeung
공소장 | gongsojang
헌법소원 | heonbeopsowon
권한쟁의 | gwonhanjaengui
가처분 | gacheobun
공무집행방해 | gongmujiphaengbanghae
긴급피난 | gingeuppinan
심신미약 | simsinmiyak
촉법소년 | chokbeopsonyeon
구치소 | guchiso
복역 | bogyeok
형기 | hyeonggi
누범 | nubeom
상습범 | sangseupbeom
추징금 | chujinggeum
몰수 | molsu
약식명령 | yaksingmyeongnyeong
즉결심판 | jeukgyeolsimpan
조서 | joseo
