# theme: Policy and institutions
# unit: voca-4-u001
정책 | jeongchaek
정부 | jeongbu
국회 | gukhoe
국회의원 | gukhoeuiwon
선거 | seongeo
투표 | tupyo
후보 | hubo
당선 | dangseon
낙선 | nakseon
정당 | jeongdang
여당 | yeodang
야당 | yadang
대통령 | daetongnyeong
총리 | chongni
장관 | janggwan
지자체 | jijache
행정 | haengjeong
기관 | gigwan
공공기관 | gonggonggigwan
제도 | jedo
법안 | beoban
개정 | gaejeong
시행 | sihaeng
실시 | silsi
도입 | doip
추진 | chujin
공약 | gongyak
지지율 | jijiyul
권력 | gwollyeok
외교 | oegyo
국방 | gukbang
안보 | anbo
복지 | bokji
위원회 | wiwonhoe
위원장 | wiwonjang
의회 | uihoe
지방자치 | jibangjachi
민주주의 | minjujuui
공화국 | gonghwaguk
행정부 | haengjeongbu
입법부 | ipbeopbu
사법부 | sabeopbu
정권 | jeonggwon
집권 | jipgwon
임기 | imgi
취임 | chwiim
사임 | saim
사퇴 | satoe
임명 | immyeong
선출 | seonchul
유권자 | yugwonja
투표율 | tupyoyul
개표 | gaepyo
출마 | chulma
유세 | yuse
대변인 | daebyeonin
성명 | seongmyeong
발의 | barui
통과 | tonggwa
부결 | bugyeol
가결 | gagyeol
협의 | hyeobui
합의 | habui
논의 | nonui
검토 | geomto
규제 | gyuje
완화 | wanhwa
강화 | ganghwa
개혁 | gaehyeok
조치 | jochi
지원금 | jiwongeum
보조금 | bojogeum
혜택 | hyetaek
민원 | minwon
청사 | cheongsa
부처 | bucheo
국정 | gukjeong
국익 | gugik
정상회담 | jeongsanghoedam
협정 | hyeopjeong
조약 | joyak
동맹 | dongmaeng
남북 | nambuk
분단 | bundan
국제기구 | gukjegigu
의석 | uiseok
과반수 | gwabansu
표결 | pyogyeol
청문회 | cheongmunhoe
공청회 | gongcheonghoe
권한 | gwonhan
체제 | cheje
이념 | inyeom
보수 | bosu
진보 | jinbo
중립 | jungnip
세력 | seryeok
지도자 | jidoja
통치 | tongchi
독재 | dokjae
