# theme: Law and rights
# unit: voca-4-u005
법률 | beomnyul
법적 | beopjeok
법원 | beobwon
재판 | jaepan
판사 | pansa
변호 | byeonho
피고 | pigo
피고인 | pigoin
원고 | wongo
고소 | goso
고발 | gobal
소송 | sosong
판결 | pangyeol
선고 | seongo
유죄 | yujoe
무죄 | mujoe
형벌 | hyeongbeol
처벌 | cheobeol
벌금 | beolgeum
징역 | jingyeok
구속 | gusok
체포 | chepo
수사 | susa
증인 | jeungin
진술 | jinsul
혐의 | hyeomui
용의자 | yonguija
범인 | beomin
범죄자 | beomjoeja
사기 | sagi
절도 | jeoldo
도난 | donan
폭행 | pokaeng
살인 | sarin
위반 | wiban
합법 | hapbeop
위법 | wibeop
규정 | gyujeong
조항 | johang
헌법 | heonbeop
민법 | minbeop
형법 | hyeongbeop
법규 | beopgyu
인권 | ingwon
보장 | bojang
침해 | chimhae
특허 | teukeo
상표 | sangpyo
소유권 | soyugwon
효력 | hyoryeok
무효 | muhyo
위약금 | wiyakgeum
손해배상 | sonhaebaesang
배상 | baesang
보상 | bosang
합의금 | habuigeum
분쟁 | bunjaeng
중재 | jungjae
신고 | singo
제보 | jebo
피의자 | piuija
변호인 | byeonhoin
검찰 | geomchal
항소 | hangso
판례 | pallye
대법원 | daebeobwon
헌법재판소 | heonbeopjaepanso
배심원 | baesimwon
재판부 | jaepanbu
법정 | beopjeong
소환 | sohwan
석방 | seokbang
보석 | boseok
형량 | hyeongnyang
사형 | sahyeong
감옥 | gamok
교도소 | gyodoso
수감 | sugam
전과 | jeongwa
처분 | cheobun
과태료 | gwataeryo
면허 | myeonheo
허가 | heoga
승인 | seungin
제한 | jehan
의무화 | uimuhwa
준수 | junsu
과실 | gwasil
고의 | goui
정당방위 | jeongdangbangwi
명예훼손 | myeongyehweson
참정권 | chamjeonggwon
선거권 | seongeogwon
검열 | geomyeol
아동학대 | adonghakdae
학대 | hakdae
가정폭력 | gajeongpongnyeok
성범죄 | seongbeomjoe
민사 | minsa
형사 | hyeongsa
