# theme: Essay vocabulary
# unit: voca-5-u012
서론 | seoron
본론 | bollon
논지 | nonji
논증하다 | nonjeunghada
논리성 | nolliseong
논술 | nonsul
논설문 | nonseolmun
설명문 | seolmyeongmun
반례 | ballye
제시하다 | jesihada
서술하다 | seosulhada
요약하다 | yoyakada
단락 | dallak
전개하다 | jeongaehada
발췌하다 | balchwehada
예시하다 | yesihada
열거하다 | yeolgeohada
매듭짓다 | maedeupjitda
종합하다 | jonghapada
비약 | biyak
상반되다 | sangbandoeda
일맥상통하다 | ilmaeksangtonghada
일례로 | illyero
첨삭하다 | cheomsakada
주제문 | jujemun
글쓴이 | geulsseuni
필자 | pilja
어조 | eojo
문체 | munche
어휘력 | eohwiryeok
문장력 | munjangnyeok
퇴고하다 | toegohada
초고 | chogo
분량 | bullyang
맞춤법 | matchumbeop
띄어쓰기 | ttieosseugi
서술어 | seosureo
구어체 | gueoche
문어체 | muneoche
정의하다 | jeonguihada
개괄하다 | gaegwalhada
부연하다 | buyeonhada
덧붙이다 | deotbuchida
거론하다 | georonhada
수긍하다 | sugeunghada
상술하다 | sangsulhada
전술하다 | jeonsulhada
후술하다 | husulhada
환기하다 | hwangihada
관련짓다 | gwallyeonjitda
문맥 | munmaek
추상적 | chusangjeok
명료하다 | myeongnyohada
간결하다 | gangyeolhada
장황하다 | janghwanghada
함축하다 | hamchukada
서두 | seodu
말미 | malmi
도입부 | doipbu
재고하다 | jaegohada
감안하다 | gamanhada
개요 | gaeyo
목차 | mokcha
핵심어 | haeksimeo
진술하다 | jinsulhada
기술하다 | gisulhada
수필 | supil
기행문 | gihaengmun
감상문 | gamsangmun
원고지 | wongoji
초안 | choan
탈고하다 | talgohada
집필하다 | jipilhada
저술하다 | jeosulhada
수사법 | susabeop
도치 | dochi
문단 | mundan
소제목 | sojemok
표제 | pyoje
부제 | buje
제언하다 | jeeonhada
도표 | dopyo
글감 | geulgam
일관되다 | ilgwandoeda
응집성 | eungjipseong
유기적 | yugijeok
정연하다 | jeongyeonhada
조리 | jori
두서없다 | duseoeopda
횡설수설 | hoengseolsuseol
군더더기 | gundeodeogi
중언부언 | jungeonbueon
압축하다 | apchukada
설파하다 | seolpahada
양비론 | yangbiron
절충하다 | jeolchunghada
전반부 | jeonbanbu
후반부 | hubanbu
원문 | wonmun
본문 | bonmun
