# theme: Abstract Sino-Korean nouns
# unit: voca-5-u010
현상 | hyeonsang
속성 | sokseong
실재 | siljae
본성 | bonseong
본연 | bonyeon
근본 | geunbon
근간 | geungan
토대 | todae
법칙 | beopchik
이치 | ichi
섭리 | seomni
순리 | sulli
도덕성 | dodeokseong
합리성 | hamniseong
주관성 | jugwanseong
특수성 | teuksuseong
획일성 | hoegilseong
일관성 | ilgwanseong
지속성 | jisokseong
연속성 | yeonsokseong
단절 | danjeol
필연 | pillyeon
필연성 | pillyeonseong
우연성 | uyeonseong
개연성 | gaeyeonseong
당위 | dangwi
당위성 | dangwiseong
효용 | hyoyong
맥락 | maengnak
명제 | myeongje
역설 | yeokseol
괴리 | goeri
간극 | gangeuk
상호작용 | sanghojagyong
관계성 | gwangyeseong
위계 | wigye
체계 | chegye
영역 | yeongyeok
차원 | chawon
층위 | cheungwi
양상 | yangsang
국면 | gungmyeon
변모 | byeonmo
진화 | jinhwa
흥망 | heungmang
성쇠 | seongsoe
순환 | sunhwan
귀결 | gwigyeol
궁극 | gunggeuk
극치 | geukchi
자각 | jagak
사유 | sayu
주체 | juche
객체 | gaekche
주체성 | jucheseong
자율 | jayul
권위 | gwonwi
역량 | yeongnyang
잠재력 | jamjaeryeok
효율성 | hyoyulseong
실상 | silsang
이면 | imyeon
표면 | pyomyeon
내포 | naepo
요체 | yoche
골자 | golja
개체 | gaeche
총체 | chongche
일환 | ilhwan
존재감 | jonjaegam
정통성 | jeongtongseong
독자성 | dokjaseong
전형 | jeonhyeong
표상 | pyosang
이상향 | isanghyang
허구 | heogu
진위 | jinwi
구체성 | gucheseong
추상성 | chusangseong
복합성 | bokapseong
상대성 | sangdaeseong
절대성 | jeoldaeseong
속박 | sokbak
보편 | bopyeon
특질 | teukjil
본위 | bonwi
합목적성 | hammokjeokseong
자의성 | jauiseong
임의성 | imuiseong
가변성 | gabyeonseong
불변성 | bulbyeonseong
항상성 | hangsangseong
동질성 | dongjilseong
이질성 | ijilseong
상이성 | sangiseong
대칭성 | daechingseong
총체성 | chongcheseong
개별성 | gaebyeolseong
한계성 | hangyeseong
유한성 | yuhanseong
