# theme: Art and criticism
# unit: voca-5-u007
예술성 | yesulseong
작품성 | jakpumseong
비평 | bipyeong
비평가 | bipyeongga
평론 | pyeongnon
평론가 | pyeongnonga
미학 | mihak
심미적 | simmijeok
감상하다 | gamsanghada
창작 | changjak
위작 | wijak
독창적 | dokchangjeok
모방 | mobang
영감 | yeonggam
구도 | gudo
원근법 | wongeunbeop
색채 | saekchae
명암 | myeongam
질감 | jilgam
조형 | johyeong
조형미 | johyeongmi
회화 | hoehwa
판화 | panhwa
수채화 | suchaehwa
유화 | yuhwa
도예 | doye
설치 미술 | seolchi misul
추상화 | chusanghwa
사실주의 | sasiljuui
낭만주의 | nangmanjuui
인상주의 | insangjuui
초현실주의 | chohyeonsiljuui
전위 예술 | jeonwi yesul
화풍 | hwapung
기법 | gibeop
양식 | yangsik
형상화 | hyeongsanghwa
채색 | chaesaek
묘사 | myosa
소묘 | somyo
재현 | jaehyeon
탐미적 | tammijeok
상징성 | sangjingseong
은유 | eunyu
비유 | biyu
풍자 | pungja
해학 | haehak
서사 | seosa
서정적 | seojeongjeok
운율 | unyul
여운 | yeoun
긴장감 | ginjanggam
절제되다 | jeoljedoeda
세련되다 | seryeondoeda
섬세하다 | seomsehada
투박하다 | tubakada
진부하다 | jinbuhada
참신하다 | chamsinhada
난해하다 | nanhaehada
파격적 | pagyeokjeok
실험적 | silheomjeok
대중성 | daejungseong
상업성 | sangeopseong
거장 | geojang
걸작 | geoljak
명작 | myeongjak
수작 | sujak
졸작 | joljak
습작 | seupjak
유작 | yujak
원작 | wonjak
각색 | gaksaek
연출 | yeonchul
연출가 | yeonchulga
기획전 | gihoekjeon
회고전 | hoegojeon
소장품 | sojangpum
큐레이터 | kyureiteo
화랑 | hwarang
관람객 | gwallamgaek
호평 | hopyeong
혹평 | hokpyeong
찬사 | chansa
극찬 | geukchan
악평 | akpyeong
재해석 | jaehaeseok
작가 의식 | jakga uisik
표현력 | pyohyeonnyeok
완성도 | wanseongdo
짜임새 | jjaimsae
통일성 | tongilseong
균형미 | gyunhyeongmi
여백 | yeobaek
붓질 | butjil
화폭 | hwapok
심미안 | simmian
향유하다 | hyangyuhada
승화 | seunghwa
승화시키다 | seunghwasikida
구현하다 | guhyeonhada
