# theme: Near-synonym pairs
# unit: voca-6-u012
묵살하다 | muksalhada
방임하다 | bangimhada
구태의연하다 | gutaeuiyeonhada
취합하다 | chwihapada
쇄신 | swaesin
일신 | ilsin
함축 | hamchuk
귀착 | gwichak
미흡하다 | miheupada
미진하다 | mijinhada
팽배하다 | paengbaehada
난무하다 | nanmuhada
횡행하다 | hoenghaenghada
일소하다 | ilsohada
영합하다 | yeonghapada
축출하다 | chukchulhada
태만 | taeman
해이하다 | haeihada
미묘하다 | mimyohada
오묘하다 | omyohada
면밀하다 | myeonmilhada
치밀하다 | chimilhada
첨예하다 | cheomyehada
극렬하다 | geungnyeolhada
발현 | balhyeon
표출 | pyochul
상계하다 | sanggyehada
경감하다 | gyeonggamhada
감면하다 | gammyeonhada
탈취하다 | talchwihada
비호하다 | bihohada
두둔하다 | dudunhada
역성들다 | yeokseongdeulda
질책하다 | jilchaekada
힐책하다 | hilchaekada
깎아내리다 | kkakkanaerida
과시하다 | gwasihada
으스대다 | euseudaeda
겸양 | gyeomyang
침잠하다 | chimjamhada
회고하다 | hoegohada
반추하다 | banchuhada
체념 | chenyeom
단념 | dannyeom
애환 | aehwan
비애 | biae
회한 | hoehan
여한 | yeohan
염원 | yeomwon
숙원 | sugwon
고무하다 | gomuhada
회유하다 | hoeyuhada
은닉하다 | eunnikada
기만하다 | gimanhada
잔존하다 | janjonhada
각박하다 | gakbakada
삭막하다 | sangmakada
의연하다 | uiyeonhada
초연하다 | choyeonhada
경솔하다 | gyeongsolhada
섣부르다 | seotbureuda
경미하다 | gyeongmihada
되레 | doere
능히 | neunghi
생경하다 | saenggyeonghada
생소하다 | saengsohada
식상하다 | siksanghada
결여 | gyeoryeo
곤궁하다 | gongunghada
번성하다 | beonseonghada
번창하다 | beonchanghada
요긴하다 | yoginhada
긴요하다 | ginyohada
유려하다 | yuryeohada
수려하다 | suryeohada
경박하다 | gyeongbakada
경망하다 | gyeongmanghada
비천하다 | bicheonhada
미천하다 | micheonhada
궁색하다 | gungsaekada
옹색하다 | ongsaekada
빈궁하다 | bingunghada
완고하다 | wangohada
완강하다 | wanganghada
교활하다 | gyohwalhada
간교하다 | gangyohada
비탄 | bitan
비통 | bitong
억측 | eokcheuk
속단 | sokdan
칭송 | chingsong
예찬 | yechan
비방 | bibang
중상 | jungsang
가혹하다 | gahokada
혹독하다 | hokdokada
온건하다 | ongeonhada
온당하다 | ondanghada
쇠락 | soerak
영락 | yeongnak
