# theme: Frequency and time adverbs
# unit: voca-2-u008
늘 | neul
언제나 | eonjena
대부분 | daebubun
거의 | geoui
전혀 | jeonhyeo
별로 | byeollo
다시 | dasi
또 | tto
매일 | maeil
매주 | maeju
매달 | maedal
매년 | maenyeon
벌써 | beolsseo
이미 | imi
아직 | ajik
곧 | got
금방 | geumbang
방금 | banggeum
아까 | akka
이따가 | ittaga
나중에 | najunge
먼저 | meonjeo
처음 | cheoeum
마지막 | majimak
드디어 | deudieo
결국 | gyeolguk
갑자기 | gapjagi
천천히 | cheoncheonhi
빨리 | ppalli
일찍 | iljjik
늦게 | neutge
오래 | orae
잠깐 | jamkkan
잠시 | jamsi
동안 | dongan
계속 | gyesok
점점 | jeomjeom
조금씩 | jogeumssik
가끔씩 | gakkeumssik
요즘 | yojeum
최근 | choegeun
옛날 | yennal
예전 | yejeon
그때 | geuttae
이제 | ije
앞으로 | apeuro
언젠가 | eonjenga
평소 | pyeongso
종일 | jongil
밤새 | bamsae
오전 | ojeon
오후 | ohu
며칠 | myeochil
한번 | hanbeon
월말 | wolmal
미리 | miri
바로 | baro
당장 | dangjang
동시에 | dongsie
그동안 | geudongan
오랫동안 | oraetdongan
한동안 | handongan
날마다 | nalmada
때때로 | ttaettaero
종종 | jongjong
자꾸 | jakku
원래 | wollae
마침 | machim
겨우 | gyeou
이르다 | ireuda
오래되다 | oraedoeda
새로 | saero
끝 | kkeut
중간 | junggan
시작 | sijak
기간 | gigan
시기 | sigi
평생 | pyeongsaeng
영원히 | yeongwonhi
일단 | ildan
우선 | useon
다음 | daeum
그다음 | geudaeum
후 | hu
전 | jeon
이후 | ihu
이전 | ijeon
정도 | jeongdo
어느새 | eoneusae
오랜만 | oraenman
틈틈이 | teumteumi
밤낮 | bamnat
언제든지 | eonjedeunji
과거 | gwageo
현재 | hyeonjae
그날 | geunal
매번 | maebeon
요새 | yosae
한참 | hancham
아직도 | ajikdo
