# theme: Work and careers
# unit: voca-3-u008
직장인 | jikjangin
취업 | chwieop
구직 | gujik
구직자 | gujikja
구인 | gugin
채용 | chaeyong
고용 | goyong
모집 | mojip
지원 | jiwon
지원자 | jiwonja
지원서 | jiwonseo
자기소개서 | jagisogaeseo
면접관 | myeonjeopgwan
경력자 | gyeongnyeokja
신입 | sinip
사원 | sawon
경력직 | gyeongnyeokjik
정규직 | jeonggyujik
비정규직 | bijeonggyujik
계약직 | gyeyakjik
시간제 | siganje
잔업 | janeop
근무 | geunmu
근무지 | geunmuji
업무 | eommu
업무량 | eommuryang
직무 | jingmu
담당 | damdang
담당자 | damdangja
부서 | buseo
대리 | daeri
상사 | sangsa
부하 | buha
거래처 | georaecheo
회의록 | hoeuirok
보고하다 | bogohada
결재 | gyeoljae
기획 | gihoek
기획서 | gihoekseo
연수 | yeonsu
승진 | seungjin
진급 | jingeup
발령 | ballyeong
전근 | jeongeun
이직 | ijik
퇴사 | toesa
사직 | sajik
사표 | sapyo
은퇴 | euntoe
정년 | jeongnyeon
해고 | haego
실직 | siljik
연봉 | yeonbong
급여 | geubyeo
수당 | sudang
상여금 | sangyeogeum
퇴직금 | toejikgeum
연차 | yeoncha
휴직 | hyujik
육아휴직 | yugahyujik
출산휴가 | chulsanhyuga
근로자 | geulloja
노동 | nodong
노동자 | nodongja
직종 | jikjong
업종 | eopjong
분야 | bunya
전문가 | jeonmunga
전문직 | jeonmunjik
자격증 | jagyeokjeung
자격 | jagyeok
진로 | jillo
자영업 | jayeongeop
공무원 | gongmuwon
업적 | eopjeok
성과 | seonggwa
실적 | siljeok
능률 | neungnyul
효율 | hyoyul
유능하다 | yuneunghada
분담 | bundam
처리하다 | cheorihada
사무직 | samujik
생산직 | saengsanjik
출퇴근 | chultoegeun
통근 | tonggeun
재택근무 | jaetaekgeunmu
직책 | jikchaek
직위 | jigwi
임원 | imwon
인재 | injae
인력 | illyeok
외근 | oegeun
휴무 | hyumu
보람 | boram
협업 | hyeobeop
인턴 | inteon
근무시간 | geunmusigan
출장하다 | chuljanghada
야근하다 | yageunhada
