# theme: Post office and bank
# unit: voca-2-u003
우편 | upyeon
우표 | upyo
편지봉투 | pyeonjibongtu
소포 | sopo
택배 | taekbae
택배비 | taekbaebi
배달 | baedal
택배기사 | taekbaegisa
배송 | baesong
배송비 | baesongbi
부치다 | buchida
우편번호 | upyeonbeonho
저울 | jeoul
무게 | muge
재다 | jaeda
포장하다 | pojanghada
테이프 | teipeu
깨지다 | kkaejida
항공편 | hanggongpyeon
배편 | baepyeon
국제우편 | gukjeupyeon
등기 | deunggi
엽서 | yeopseo
연하장 | yeonhajang
요금 | yogeum
수수료 | susuryo
우체통 | uchetong
집배원 | jipbaewon
창구 | changgu
번호표 | beonhopyo
차례 | charye
순서 | sunseo
은행원 | eunhaengwon
통장 | tongjang
계좌 | gyejwa
계좌번호 | gyejwabeonho
비밀번호 | bimilbeonho
도장 | dojang
신분증 | sinbunjeung
외국인등록증 | oegugindeungnokjeung
체크카드 | chekeukadeu
지폐 | jipye
거스름돈 | geoseureumdon
환전 | hwanjeon
수표 | supyo
환율 | hwannyul
달러 | dalleo
송금 | songgeum
모바일뱅킹 | mobailbaengking
이체 | iche
한도 | hando
입금 | ipgeum
입력하다 | imnyeokada
출금 | chulgeum
뽑다 | ppopda
저금 | jeogeum
아끼다 | akkida
저축 | jeochuk
비상금 | bisanggeum
예금 | yegeum
적금 | jeokgeum
이자 | ija
대출 | daechul
빌리다 | billida
빌려주다 | billyeojuda
갚다 | gapda
현금인출기 | hyeongeuminchulgi
서명 | seomyeong
반송 | bansong
사인 | sain
신청서 | sincheongseo
서류 | seoryu
작성하다 | jakseonghada
발급 | balgeup
발급받다 | balgeupbatda
분실 | bunsil
파손 | pason
잃어버리다 | ireobeorida
신고하다 | singohada
공과금 | gonggwageum
전기요금 | jeongiyogeum
수도요금 | sudoyogeum
관리비 | gwallibi
월세 | wolse
전세 | jeonse
지불하다 | jibulhada
할부 | halbu
일시불 | ilsibul
영수증 | yeongsujeung
잔액 | janaek
금액 | geumaek
합계 | hapgye
비용 | biyong
부족하다 | bujokada
모자라다 | mojarada
남다 | namda
용돈 | yongdon
생활비 | saenghwalbi
세금 | segeum
마감 | magam
