# theme: Economy and consumption
# unit: voca-4-u002
침체 | chimche
성장률 | seongjangnyul
인플레이션 | inpeulleisyeon
투자자 | tujaja
주가 | juga
증권 | jeunggwon
가계 | gagye
재정 | jaejeong
세율 | seyul
납부 | nappu
공제 | gongje
연말정산 | yeonmaljeongsan
폭등 | pokdeung
폭락 | pongnak
유통기한 | yutonggihan
구매력 | gumaeryeok
과소비 | gwasobi
절약 | jeoryak
신용 | sinyong
상품권 | sangpumgwon
가성비 | gaseongbi
자산 | jasan
자본 | jabon
자본주의 | jabonjuui
금융 | geumyung
보험료 | boheomnyo
생산량 | saengsallyang
제조업 | jejoeop
산업 | saneop
수익 | suik
독점 | dokjeom
관세 | gwanse
통화 | tonghwa
외환 | oehwan
경제난 | gyeongjenan
물품 | mulpum
생필품 | saengpilpum
사치품 | sachipum
명품 | myeongpum
증시 | jeungsi
경매 | gyeongmae
노후 | nohu
씀씀이 | sseumsseumi
알뜰하다 | altteulhada
청구서 | cheongguseo
불매운동 | bulmaeundong
원자재 | wonjajae
유가 | yuga
소비재 | sobijae
내수 | naesu
펀드 | peondeu
도매 | domae
소매 | somae
이윤 | iyun
할인율 | harinyul
중고품 | junggopum
저금리 | jeogeumni
고물가 | gomulga
소비세 | sobise
부가가치세 | bugagachise
가상화폐 | gasanghwapye
흥정 | heungjeong
계약금 | gyeyakgeum
연체 | yeonche
연체료 | yeoncheryo
물가지수 | mulgajisu
소비문화 | sobimunhwa
경제위기 | gyeongjewigi
불경기 | bulgyeonggi
호경기 | hogyeonggi
대금 | daegeum
물가안정 | mulgaanjeong
거품 | geopum
대출금 | daechulgeum
원금 | wongeum
배당금 | baedanggeum
주주 | juju
매입 | maeip
매각 | maegak
헐값 | heolgap
품귀 | pumgwi
품절 | pumjeol
공동구매 | gongdonggumae
인출 | inchul
소비촉진 | sobichokjin
소비심리 | sobisimni
가격대 | gagyeokdae
고가품 | gogapum
저가품 | jeogapum
할인점 | harinjeom
소상공인 | sosanggongin
실질소득 | siljilsodeuk
경제정책 | gyeongjejeongchaek
경기회복 | gyeonggihoebok
생계비 | saenggyebi
담보 | dambo
이자율 | ijayul
상환하다 | sanghwanhada
투기 | tugi
수익성 | suikseong
