# theme: Weather and seasons
# unit: voca-1-u007
날씨 | nalssi
봄 | bom
여름 | yeoreum
가을 | gaeul
겨울 | gyeoul
계절 | gyejeol
사계절 | sagyejeol
비 | bi
눈 | nun
바람 | baram
구름 | gureum
하늘 | haneul
해 | hae
별 | byeol
맑다 | makda
흐리다 | heurida
덥다 | deopda
춥다 | chupda
따뜻하다 | ttatteuthada
시원하다 | siwonhada
쌀쌀하다 | ssalssalhada
선선하다 | seonseonhada
차다 | chada
내리다 | naerida
불다 | bulda
그치다 | geuchida
개다 | gaeda
끼다 | kkida
우산 | usan
우비 | ubi
비옷 | biot
장마 | jangma
태풍 | taepung
천둥 | cheondung
번개 | beongae
무지개 | mujigae
안개 | angae
기온 | gion
온도 | ondo
도 | do
영하 | yeongha
일기예보 | ilgiyebo
맑음 | malgeum
흐림 | heurim
벚꽃 | beotkkot
단풍 | danpung
나뭇잎 | namunnip
잎 | ip
나무 | namu
풀 | pul
호수 | hosu
섬 | seom
공기 | gonggi
햇빛 | haetbit
햇볕 | haetbyeot
그늘 | geuneul
얼음 | eoreum
눈사람 | nunsaram
스키 | seuki
수영 | suyeong
물놀이 | mullori
휴가 | hyuga
여름방학 | yeoreumbanghak
겨울방학 | gyeoulbanghak
소풍 | sopung
여행 | yeohaeng
캠핑 | kaemping
선풍기 | seonpunggi
난로 | nallo
부채 | buchae
반팔 | banpal
반바지 | banbaji
긴팔 | ginpal
선글라스 | seongeullaseu
장갑 | janggap
목도리 | mokdori
감기 | gamgi
땀 | ttam
추위 | chuwi
더위 | deowi
여름옷 | yeoreumot
겨울옷 | gyeourot
설날 | seollal
추석 | chuseok
크리스마스 | keuriseumaseu
새해 | saehae
새 | sae
나비 | nabi
모기 | mogi
흙 | heuk
돌 | dol
땅 | ttang
경치 | gyeongchi
자연 | jayeon
피다 | pida
지다 | jida
떨어지다 | tteoreojida
녹다 | nokda
얼다 | eolda
젖다 | jeotda
