# theme: Me and my family
# unit: voca-1-u001
가족 | gajok
아버지 | abeoji
어머니 | eomeoni
아빠 | appa
엄마 | eomma
부모님 | bumonim
형 | hyeong
오빠 | oppa
누나 | nuna
언니 | eonni
동생 | dongsaeng
남동생 | namdongsaeng
여동생 | yeodongsaeng
할아버지 | harabeoji
할머니 | halmeoni
아들 | adeul
딸 | ttal
남편 | nampyeon
아내 | anae
형제 | hyeongje
자매 | jamae
삼촌 | samchon
이모 | imo
사촌 | sachon
손자 | sonja
손녀 | sonnyeo
부부 | bubu
아이 | ai
아기 | agi
어린이 | eorini
어른 | eoreun
아저씨 | ajeossi
아주머니 | ajumeoni
사람 | saram
남자 | namja
여자 | yeoja
친구 | chingu
남자 친구 | namja chingu
여자 친구 | yeoja chingu
이름 | ireum
성함 | seongham
나이 | nai
연세 | yeonse
나 | na
저 | jeo
우리 | uri
저희 | jeohui
너 | neo
당신 | dangsin
이분 | ibun
그분 | geubun
씨 | ssi
선생님 | seonsaengnim
학생 | haksaeng
대학생 | daehaksaeng
고등학생 | godeunghaksaeng
중학생 | junghaksaeng
초등학생 | chodeunghaksaeng
회사원 | hoesawon
의사 | uisa
간호사 | ganhosa
경찰 | gyeongchal
가수 | gasu
배우 | baeu
요리사 | yorisa
주부 | jubu
직업 | jigeop
나라 | nara
한국 | hanguk
한국 사람 | hanguk saram
미국 | miguk
중국 | jungguk
일본 | ilbon
영국 | yeongguk
외국 | oeguk
외국인 | oegugin
한국어 | hangugeo
영어 | yeongeo
말 | mal
안녕하세요 | annyeonghaseyo
감사하다 | gamsahada
고맙다 | gomapda
미안하다 | mianhada
죄송하다 | joesonghada
만나다 | mannada
반갑다 | bangapda
소개하다 | sogaehada
인사 | insa
네 | ne
아니요 | aniyo
결혼하다 | gyeolhonhada
사랑하다 | saranghada
살다 | salda
태어나다 | taeeonada
계시다 | gyesida
주소 | juso
전화번호 | jeonhwabeonho
취미 | chwimi
운동 | undong
노래 | norae
