# theme: Economy basics
# unit: voca-3-u003
경제적 | gyeongjejeok
물가 | mulga
인상 | insang
인상되다 | insangdoeda
인하 | inha
할인하다 | harinhada
소비 | sobi
소비자 | sobija
단골 | dangol
생산 | saengsan
장사 | jangsa
생산자 | saengsanja
공급 | gonggeup
수요 | suyo
상품 | sangpum
제품 | jepum
구매 | gumae
가격표 | gagyeokpyo
구입하다 | guipada
판매 | panmae
상인 | sangin
판매량 | panmaeryang
매장 | maejang
영업 | yeongeop
영업시간 | yeongeopsigan
수입 | suip
수출 | suchul
매매 | maemae
무역 | muyeok
지출 | jichul
벌다 | beolda
소득 | sodeuk
금리 | geumni
빚 | bit
화폐 | hwapye
결제 | gyeolje
공짜 | gongjja
납부하다 | napbuhada
경비 | gyeongbi
예산 | yesan
가계부 | gagyebu
재산 | jaesan
가난하다 | gananhada
부유하다 | buyuhada
투자 | tuja
개업 | gaeeop
주식 | jusik
부동산 | budongsan
집값 | jipgap
보증금 | bojeunggeum
임대 | imdae
계약 | gyeyak
계약서 | gyeyakseo
세입자 | seipja
손해 | sonhae
이익 | iik
이득 | ideuk
손실 | sonsil
적자 | jeokja
흑자 | heukja
매출 | maechul
불황 | bulhwang
호황 | hohwang
실업 | sireop
실업률 | sireomnyul
경쟁 | gyeongjaeng
경쟁력 | gyeongjaengnyeok
기업 | gieop
중소기업 | jungsogieop
대기업 | daegieop
사업 | saeop
창업 | changeop
유통 | yutong
환불 | hwanbul
폐업 | pyeeop
교환하다 | gyohwanhada
반품 | banpum
품질 | pumjil
저렴하다 | jeoryeomhada
합리적 | hamnijeok
충동구매 | chungdonggumae
중고 | junggo
가치 | gachi
액수 | aeksu
원가 | wonga
정가 | jeongga
적립 | jeongnip
연금 | yeongeum
재테크 | jaetekeu
거래 | georae
집주인 | jipjuin
시세 | sise
고객 | gogaek
경제력 | gyeongjeryeok
대출하다 | daechulhada
소비량 | sobiryang
판매자 | panmaeja
구매자 | gumaeja
수입품 | suipum
수출품 | suchulpum
