# theme: Labor and business
# unit: voca-4-u006
노동력 | nodongnyeok
노조 | nojo
임금 | imgeum
최저임금 | choejeoimgeum
성과급 | seonggwageup
퇴직 | toejik
입사 | ipsa
인사부 | insabu
경영 | gyeongyeong
경영자 | gyeongyeongja
경영난 | gyeongyeongnan
사업가 | saeopga
기업가 | gieopga
자영업자 | jayeongeopja
부업 | bueop
운영 | unyeong
업체 | eopche
업계 | eopgye
직급 | jikgeup
직업병 | jigeoppyeong
사업장 | saeopjang
초과근무 | chogwageunmu
교대 | gyodae
생산성 | saengsanseong
조직 | jojik
간부 | ganbu
신입사원 | sinipsawon
일자리 | iljari
근속 | geunsok
책임자 | chaegimja
실무 | silmu
파업 | paeop
협상 | hyeopsang
구조조정 | gujojojeong
감원 | gamwon
부도 | budo
파산 | pasan
합병 | hapbyeong
본사 | bonsa
지사 | jisa
안건 | angeon
제휴 | jehyu
납품 | nappum
발주 | balju
재고 | jaego
고용하다 | goyonghada
보너스 | boneoseu
해고하다 | haegohada
실업자 | sireopja
이직률 | ijingnyul
복리후생 | bongnihusaeng
근무환경 | geunmuhwangyeong
근로조건 | geullojogeon
노사 | nosa
노사갈등 | nosagaldeung
노동조합 | nodongjohap
단체교섭 | danchegyoseop
영업부 | yeongeopbu
마케팅 | maketing
기획안 | gihoegan
창업하다 | changeophada
스타트업 | seutateueop
법인 | beobin
지점 | jijeom
인건비 | ingeonbi
고용주 | goyongju
유연근무 | yuyeongeunmu
산업재해 | saneopjaehae
근로시간 | geullosigan
수습 | susup
사내 | sanae
대표이사 | daepyoisa
이사회 | isahoe
주주총회 | jujuchonghoe
결산 | gyeolsan
영업이익 | yeongeobiik
순이익 | sunniik
경영진 | gyeongyeongjin
경영전략 | gyeongyeongjeollyak
사업계획 | saeopgyehoek
사업자 | saeopja
창업자 | changeopja
벤처기업 | bencheogieop
협력업체 | hyeomnyeogeopche
하청업체 | hacheongeopche
외주 | oeju
파견직 | pagyeonjik
일용직 | iryongjik
임시직 | imsijik
근로계약서 | geullogyeyakseo
연봉협상 | yeonbonghyeopsang
임금체불 | imgeumchebul
부당해고 | budanghaego
정리해고 | jeongnihaego
명예퇴직 | myeongyetoejik
정년퇴직 | jeongnyeontoejik
근로기준법 | geullogijunbeop
파업하다 | paeophada
노동시장 | nodongsijang
취업률 | chwieomnyul
