# theme: Adverbs of stance
# unit: voca-4-u010
확실히 | hwaksilhi
분명히 | bunmyeonghi
명백히 | myeongbaeki
확연히 | hwagyeonhi
엄연히 | eomyeonhi
단연 | danyeon
아마도 | amado
설마 | seolma
아무래도 | amuraedo
적어도 | jeogeodo
최소한 | choesohan
기껏해야 | gikkeotaeya
고작 | gojak
불과 | bulgwa
무려 | muryeo
그저 | geujeo
유독 | yudok
그나마 | geunama
무엇보다 | mueotboda
실로 | sillo
정작 | jeongjak
막상 | maksang
의외로 | uioero
뜻밖에 | tteutbakke
그다지 | geudaji
딱히 | ttaki
좀처럼 | jomcheoreom
도무지 | domuji
도저히 | dojeohi
여간 | yeogan
전적으로 | jeonjeogeuro
절대로 | jeoldaero
무조건 | mujogeon
반면에 | banmyeone
아무리 | amuri
하긴 | hagin
하기야 | hagiya
되도록 | doedorok
가급적 | gageupjeok
부디 | budi
아예 | aye
애초에 | aechoe
본래 | bollae
당초 | dangcho
새삼 | saesam
공연히 | gongyeonhi
과감히 | gwagamhi
섣불리 | seotbulli
참으로 | chameuro
차마 | chama
감히 | gamhi
하마터면 | hamateomyeon
자칫 | jachit
자칫하면 | jachitamyeon
더불어 | deobureo
결과적으로 | gyeolgwajeogeuro
궁극적으로 | gunggeukjeogeuro
근본적으로 | geunbonjeogeuro
원칙적으로 | wonchikjeogeuro
어디까지나 | eodikkajina
기왕 | giwang
이왕이면 | iwangimyeon
어쩐지 | eojjeonji
오죽하면 | ojukamyeon
솔직히 | soljiki
진심으로 | jinsimeuro
개인적으로 | gaeinjeogeuro
객관적으로 | gaekgwanjeogeuro
주관적으로 | jugwanjeogeuro
본질적으로 | bonjiljeogeuro
기본적으로 | gibonjeogeuro
전반적으로 | jeonbanjeogeuro
대체적으로 | daechejeogeuro
실질적으로 | siljiljeogeuro
형식적으로 | hyeongsikjeogeuro
표면적으로 | pyomyeonjeogeuro
단적으로 | danjeogeuro
노골적으로 | nogoljeogeuro
외견상 | oegyeonsang
이론상 | ironsang
명실공히 | myeongsilgonghi
공공연히 | gonggongyeonhi
은근히 | eungeunhi
내심 | naesim
실은 | sireun
정녕 | jeongnyeong
다행히 | dahaenghi
불행히 | bulhaenghi
안타깝게도 | antakkapgedo
유감스럽게도 | yugamseureopgedo
놀랍게도 | nollapgedo
공교롭게도 | gonggyoropgedo
보아하니 | boahani
어김없이 | eogimeopsi
영락없이 | yeongnageopsi
어림잡아 | eorimjaba
제법 | jebeop
워낙 | wonak
어찌나 | eojjina
으레 | eure
