# theme: Appointments and plans
# unit: voca-2-u001
약속 | yaksok
약속하다 | yaksokada
계획 | gyehoek
계획하다 | gyehoekada
예약 | yeyak
예약하다 | yeyakada
일정 | iljeong
스케줄 | seukejul
모임 | moim
모이다 | moida
파티 | pati
초대 | chodae
초대하다 | chodaehada
초대장 | chodaejang
취소 | chwiso
취소하다 | chwisohada
미루다 | miruda
정하다 | jeonghada
결정하다 | gyeoljeonghada
참석하다 | chamseokada
참가하다 | chamgahada
준비 | junbi
신청 | sincheong
신청하다 | sincheonghada
연락 | yeollak
연락하다 | yeollakada
연락처 | yeollakcheo
문자 | munja
답장 | dapjang
확인하다 | hwaginhada
잊어버리다 | ijeobeorida
알리다 | allida
전하다 | jeonhada
부탁 | butak
부탁하다 | butakada
거절하다 | geojeolhada
허락하다 | heorakada
가능하다 | ganeunghada
한가하다 | hangahada
여유 | yeoyu
볼일 | bollil
사정 | sajeong
연휴 | yeonhyu
명절 | myeongjeol
결혼식 | gyeolhonsik
돌잔치 | doljanchi
집들이 | jipdeuri
송별회 | songbyeolhoe
환영회 | hwanyeonghoe
동창회 | dongchanghoe
데이트 | deiteu
소개팅 | sogaeting
축하 | chuka
축하하다 | chukahada
꽃다발 | kkotdabal
풍선 | pungseon
이웃 | iut
친척 | chincheok
방문 | bangmun
방문하다 | bangmunhada
들르다 | deulleuda
찾아가다 | chajagada
찾아오다 | chajaoda
마중 | majung
배웅하다 | baeunghada
데려가다 | deryeogada
데려오다 | deryeooda
모시다 | mosida
헤어지다 | heeojida
서두르다 | seodureuda
늦어지다 | neujeojida
지키다 | jikida
어기다 | eogida
목표 | mokpyo
미래 | mirae
계획표 | gyehoekpyo
메모 | memo
메모하다 | memohada
수첩 | sucheop
상의하다 | sanguihada
의논하다 | uinonhada
의견 | uigyeon
고민 | gomin
고민하다 | gominhada
기대하다 | gidaehada
맞은편 | majeunpyeon
건너편 | geonneopyeon
광장 | gwangjang
평일 | pyeongil
주중 | jujung
연말 | yeonmal
연초 | yeoncho
내일모레 | naeilmore
사흘 | saheul
나흘 | naheul
반나절 | bannajeol
정각 | jeonggak
새벽 | saebyeok
생기다 | saenggida
바뀌다 | bakkwida
