# theme: Social issues
# unit: voca-4-u003
사회문제 | sahoemunje
출산율 | chulsanyul
양극화 | yanggeukhwa
빈부격차 | binbugyeokcha
불평등 | bulpyeongdeung
성차별 | seongchabyeol
인종차별 | injongchabyeol
세대갈등 | sedaegaldeung
빈곤 | bingon
노숙자 | nosukja
취약계층 | chwiyakgyecheung
소외 | soe
소외계층 | soegyecheung
다문화가정 | damunhwagajeong
이민자 | iminja
난민 | nanmin
학교폭력 | hakgyopongnyeok
괴롭힘 | goeropim
자살 | jasal
도박 | dobak
음주운전 | eumjuunjeon
기후변화 | gihubyeonhwa
지구온난화 | jiguonanhwa
환경보호 | hwangyeongboho
과열 | gwayeol
주거 | jugeo
주택난 | jutaengnan
청년 | cheongnyeon
독거노인 | dokgeonoin
고독사 | godoksa
보육 | boyuk
저소득층 | jeosodeukcheung
계층 | gyecheung
약자 | yakja
시위 | siwi
집회 | jiphoe
후원 | huwon
모금 | mogeum
시민단체 | simindanche
비영리 | biyeongni
지역사회 | jiyeoksahoe
안전사고 | anjeonsago
재난 | jaenan
피해자 | pihaeja
구호 | guho
층간소음 | cheunggansoeum
악성댓글 | akseongdaetgeul
개인정보 | gaeinjeongbo
감시 | gamsi
양성평등 | yangseongpyeongdeung
고정관념 | gojeonggwannyeom
인식 | insik
방역 | bangyeok
보건 | bogeon
의료비 | uiryobi
영양실조 | yeongyangsiljo
기아 | gia
식량 | singnyang
도시화 | dosihwa
농촌 | nongchon
과밀 | gwamil
지역격차 | jiyeokgyeokcha
수도권 | sudogwon
학벌 | hakbeol
실태 | siltae
유기견 | yugigyeon
동물보호 | dongmulboho
노인복지 | noinbokji
돌봄 | dolbom
한부모가정 | hanbumogajeong
저출생 | jeochulsaeng
인구절벽 | ingujeolbyeok
사회안전망 | sahoeanjeonmang
공익 | gongik
청년실업 | cheongnyeonsireop
사회복지 | sahoebokji
범죄율 | beomjoeyul
마약 | mayak
성희롱 | seonghuirong
봉사활동 | bongsahwaldong
소수자 | sosuja
이주노동자 | ijunodongja
입시경쟁 | ipsigyeongjaeng
대기오염 | daegioyeom
인구감소 | ingugamso
비혼 | bihon
이혼율 | ihonyul
역차별 | yeokchabyeol
서명운동 | seomyeongundong
해소 | haeso
이기주의 | igijuui
집단따돌림 | jipdanttadollim
편의시설 | pyeonuisiseol
저소득 | jeosodeuk
기초생활수급자 | gichosaenghwalsugeupja
노숙 | nosuk
가출 | gachul
청소년범죄 | cheongsonyeonbeomjoe
사이버폭력 | saibeopongnyeok
인터넷중독 | inteonetjungdok
