# theme: International relations
# unit: voca-6-u004
국제관계 | gukjegwangye
패권주의 | paegwonjuui
세력균형 | seryeokgyunhyeong
동맹국 | dongmaengguk
우방 | ubang
적대국 | jeokdaeguk
교전 | gyojeon
정전 | jeongjeon
종전 | jongjeon
평화협정 | pyeonghwahyeopjeong
불가침 | bulgachim
의정서 | uijeongseo
양해각서 | yanghaegakseo
공동성명 | gongdongseongmyeong
수교 | sugyo
단교 | dangyo
국교 | gukgyo
영사관 | yeongsagwan
공관 | gonggwan
특사 | teuksa
영유권 | yeongyugwon
영해 | yeonghae
영공 | yeonggong
내정간섭 | naejeongganseop
자주권 | jajugwon
민족자결 | minjokjagyeol
경제제재 | gyeongjejejae
금수조치 | geumsujochi
무력충돌 | muryeokchungdol
국지전 | gukjijeon
냉전 | naengjeon
열강 | yeolgang
약소국 | yaksoguk
비동맹 | bidongmaeng
다자주의 | dajajuui
일방주의 | ilbangjuui
고립주의 | goripjuui
양자회담 | yangjahoedam
다자간 | dajagan
집단안보 | jipdananbo
억지력 | eokjiryeok
비핵화 | bihaekhwa
핵확산 | haekhwaksan
비확산 | bihwaksan
군축 | gunchuk
군비경쟁 | gunbigyeongjaeng
대량살상무기 | daeryangsalsangmugi
탄도미사일 | tandomisail
도발 | dobal
긴장완화 | ginjangwanhwa
데탕트 | detangteu
유화책 | yuhwachaek
강경책 | ganggyeongchaek
매파 | maepa
비둘기파 | bidulgipa
지정학 | jijeonghak
지정학적 | jijeonghakjeok
실리외교 | sillioegyo
공공외교 | gonggongoegyo
상임이사국 | sangimisaguk
결의안 | gyeoruian
평화유지군 | pyeonghwayujigun
파병 | pabyeong
주둔 | judun
군사동맹 | gunsadongmaeng
방위비 | bangwibi
분담금 | bundamgeum
식민지배 | singminjibae
과거사 | gwageosa
사죄 | sajoe
역사왜곡 | yeoksawaegok
외교마찰 | oegyomachal
초치 | chochi
치외법권 | chioebeopgwon
면책특권 | myeonchaekteukgwon
전범 | jeonbeom
전쟁범죄 | jeonjaengbeomjoe
집단학살 | jipdanhaksal
인종청소 | injongcheongso
국제공조 | gukjegongjo
역내 | yeongnae
역외 | yeogoe
접경 | jeopgyeong
완충지대 | wanchungjidae
비무장지대 | bimujangjidae
휴전선 | hyujeonseon
교섭 | gyoseop
협상력 | hyeopsangnyeok
수뇌부 | sunoebu
정상외교 | jeongsangoegyo
순방 | sunbang
국빈 | gukbin
의전 | uijeon
우호 | uho
친선 | chinseon
선린 | seollin
호혜 | hohye
상호주의 | sanghojuui
탈냉전 | tallaengjeon
신냉전 | sinnaengjeon
