# theme: Formal 하다 verbs
# unit: voca-4-u009
발행하다 | balhaenghada
확정하다 | hwakjeonghada
실행하다 | silhaenghada
정비하다 | jeongbihada
진행하다 | jinhaenghada
확보하다 | hwakbohada
유지하다 | yujihada
보완하다 | bowanhada
보강하다 | boganghada
절감하다 | jeolgamhada
삭감하다 | sakgamhada
채택하다 | chaetaekada
투입하다 | tuipada
조달하다 | jodalhada
편성하다 | pyeonseonghada
관리하다 | gwallihada
파악하다 | paakada
발견하다 | balgyeonhada
창출하다 | changchulhada
구축하다 | guchukada
마련하다 | maryeonhada
제공하다 | jegonghada
지원하다 | jiwonhada
인증하다 | injeunghada
심사하다 | simsahada
금지하다 | geumjihada
해제하다 | haejehada
폐쇄하다 | pyeswaehada
통제하다 | tongjehada
감독하다 | gamdokada
점검하다 | jeomgeomhada
집계하다 | jipgyehada
개최하다 | gaechoehada
주최하다 | juchoehada
주관하다 | jugwanhada
실현하다 | silhyeonhada
달성하다 | dalseonghada
성취하다 | seongchwihada
완료하다 | wallyohada
완성하다 | wanseonghada
중단하다 | jungdanhada
보류하다 | boryuhada
재개하다 | jaegaehada
야기하다 | yagihada
대응하다 | daeeunghada
대비하다 | daebihada
예방하다 | yebanghada
방지하다 | bangjihada
극복하다 | geukbokada
복구하다 | bokguhada
감당하다 | gamdanghada
부담하다 | budamhada
담당하다 | damdanghada
수행하다 | suhaenghada
이행하다 | ihaenghada
건의하다 | geonuihada
요구하다 | yoguhada
요청하다 | yocheonghada
촉구하다 | chokguhada
권장하다 | gwonjanghada
권유하다 | gwonyuhada
당부하다 | dangbuhada
공개하다 | gonggaehada
통보하다 | tongbohada
설립하다 | seollipada
수립하다 | suripada
확립하다 | hwangnipada
형성하다 | hyeongseonghada
구성하다 | guseonghada
조성하다 | joseonghada
육성하다 | yukseonghada
배치하다 | baechihada
배정하다 | baejeonghada
배분하다 | baebunhada
분배하다 | bunbaehada
할당하다 | haldanghada
지급하다 | jigeupada
부과하다 | bugwahada
적발하다 | jeokbalhada
단속하다 | dansokada
위탁하다 | witakada
조정하다 | jojeonghada
조율하다 | joyulhada
통합하다 | tonghapada
분리하다 | bullihada
연계하다 | yeongyehada
결합하다 | gyeolhapada
포함하다 | pohamhada
제외하다 | jeoehada
배제하다 | baejehada
선정하다 | seonjeonghada
선발하다 | seonbalhada
지정하다 | jijeonghada
공표하다 | gongpyohada
명시하다 | myeongsihada
보관하다 | bogwanhada
유치하다 | yuchihada
확충하다 | hwakchunghada
증진하다 | jeungjinhada
촉진하다 | chokjinhada
