# theme: Editorial rhetoric
# unit: voca-6-u008
사설 | saseol
기고 | gigo
논증 | nonjeung
논박 | nonbak
논파 | nonpa
방증 | bangjeung
반증 | banjeung
예증 | yejeung
단언 | daneon
강변하다 | gangbyeonhada
설파 | seolpa
경종 | gyeongjong
일침 | ilchim
질타 | jilta
성토 | seongto
규탄 | gyutan
개탄 | gaetan
통탄 | tongtan
쓴소리 | sseunsori
고언 | goeon
제언 | jeeon
후폭풍 | hupokpung
고육책 | goyukchaek
자구책 | jaguchaek
대증요법 | daejeungnyobeop
전시행정 | jeonsihaengjeong
선심성 | seonsimseong
이중잣대 | ijungjatdae
호도 | hodo
물타기 | multagi
수사학 | susahak
수사적 | susajeok
어폐 | eope
어감 | eogam
신랄하다 | sillalhada
통렬하다 | tongnyeolhada
엄중하다 | eomjunghada
준엄하다 | juneomhada
참담하다 | chamdamhada
자명하다 | jamyeonghada
요원하다 | yowonhada
난망하다 | nanmanghada
차제에 | chajee
바야흐로 | bayahuro
급기야 | geupgiya
기어이 | gieoi
작금 | jakgeum
목하 | moka
일각 | ilgak
세간 | segan
항간 | hanggan
방관 | banggwan
묵과 | mukgwa
좌시 | jwasi
간과 | gangwa
직시 | jiksi
천명 | cheonmyeong
표명 | pyomyeong
공언 | gongeon
식언 | sigeon
번복 | beonbok
책임전가 | chaegimjeonga
면피 | myeonpi
꼼수 | kkomsu
발목잡기 | balmokjapgi
자충수 | jachungsu
귀감 | gwigam
전철 | jeoncheol
답습 | dapseup
필봉 | pilbong
사견 | sagyeon
단견 | dangyeon
반문 | banmun
역공 | yeokgong
맹점 | maengjeom
곱씹다 | gopssipda
되짚다 | doejipda
곡학아세 | gokagase
본말전도 | bonmaljeondo
명약관화 | myeongyakgwanhwa
필치 | pilchi
촌평 | chonpyeong
단평 | danpyeong
비아냥 | biayang
조소 | joso
냉소 | naengso
허울 | heoul
공염불 | gongyeombul
만시지탄 | mansijitan
통감하다 | tonggamhada
흠집내기 | heumjimnaegi
말바꾸기 | malbakkugi
언어도단 | eoneododan
표리부동 | pyoribudong
허장성세 | heojangseongse
설왕설래 | seorwangseollae
직설 | jikseol
에둘러 | edulleo
빗대다 | bitdaeda
꼬집다 | kkojipda
