# theme: Education
# unit: voca-3-u006
교육 | gyoyuk
학문 | hangmun
학위 | hagwi
학점 | hakjeom
부전공 | bujeongong
졸업식 | joreopsik
입학식 | ipaksik
입학시험 | ipaksiheom
수업료 | sueomnyo
교재 | gyojae
필수 | pilsu
교양 | gyoyang
강사 | gangsa
담임 | damim
동기 | donggi
과제 | gwaje
논문 | nonmun
토론 | toron
시험지 | siheomji
중간고사 | junggangosa
기말고사 | gimalgosa
성적표 | seongjeokpyo
평가 | pyeongga
채점 | chaejeom
합격 | hapgyeok
불합격 | bulhapgyeok
낙제 | nakje
재수 | jaesu
수능 | suneung
수험생 | suheomsaeng
입시 | ipsi
과외 | gwaoe
사교육 | sagyoyuk
공교육 | gonggyoyuk
대학원 | daehagwon
석사 | seoksa
박사 | baksa
연구 | yeongu
실험 | silheom
실습 | silseup
암기 | amgi
이해력 | ihaeryeok
집중력 | jipjungnyeok
사고력 | sagoryeok
창의력 | changuiryeok
기초 | gicho
수준 | sujun
능력 | neungnyeok
지식 | jisik
교훈 | gyohun
지도하다 | jidohada
가르침 | gareuchim
배움 | baeum
익히다 | ikida
학습 | hakseup
학습자 | hakseupja
학업 | hageop
학력 | hangnyeok
학자 | hakja
제자 | jeja
스승 | seuseung
결석 | gyeolseok
지각 | jigak
조퇴 | jotoe
휴학 | hyuhak
복학 | bokak
전학 | jeonhak
편입 | pyeonip
자퇴 | jatoe
퇴학 | toehak
개학 | gaehak
수학여행 | suhangnyeohaeng
교육비 | gyoyukbi
교육열 | gyoyungnyeol
제출하다 | jechulhada
수강하다 | suganghada
수강생 | sugangsaeng
교육자 | gyoyukja
교장 | gyojang
학부모 | hakbumo
학생회 | haksaenghoe
졸업생 | joreopsaeng
재학생 | jaehaksaeng
어학연수 | eohangnyeonsu
문제집 | munjejip
참고서 | chamgoseo
오답 | odap
문항 | munhang
객관식 | gaekgwansik
주관식 | jugwansik
서술형 | seosulhyeong
적성 | jeokseong
진학 | jinhak
재능 | jaeneung
교육과정 | gyoyukgwajeong
우등생 | udeungsaeng
모범생 | mobeomsaeng
학과 | hakgwa
학부 | hakbu
자습 | jaseup
