# theme: Public debate
# unit: voca-5-u003
논의하다 | nonuihada
논거 | nongeo
이견 | igyeon
지지층 | jijicheung
반발하다 | banbalhada
비판적 | bipanjeok
규탄하다 | gyutanhada
여론조사 | yeoronjosa
공론 | gongnon
공론화 | gongnonhwa
담론 | damnon
합의하다 | habuihada
타협하다 | tahyeopada
절충안 | jeolchungan
중재하다 | jungjaehada
대립하다 | daeripada
상충하다 | sangchunghada
분열 | bunyeol
진영 | jinyeong
이해관계 | ihaegwangye
이해당사자 | ihaedangsaja
당사자 | dangsaja
대변하다 | daebyeonhada
발언하다 | bareonhada
표명하다 | pyomyeonghada
천명하다 | cheonmyeonghada
견지하다 | gyeonjihada
고수하다 | gosuhada
철회하다 | cheolhoehada
번복하다 | beonbokada
궤변 | gwebyeon
어불성설 | eobulseongseol
정당화하다 | jeongdanghwahada
공방 | gongbang
설전 | seoljeon
격론 | gyeongnon
갑론을박 | gamnoneulbak
찬반양론 | chanbanyangnon
난상토론 | nansangtoron
토론자 | toronja
의제 | uije
상정하다 | sangjeonghada
다수결 | dasugyeol
만장일치 | manjangilchi
의결 | uigyeol
거부권 | geobugwon
공론장 | gongnonjang
민의 | minui
여론몰이 | yeoronmori
선동하다 | seondonghada
포퓰리즘 | popyullijeum
흑백논리 | heukbaengnolli
이분법 | ibunbeop
이분법적 | ibunbeopjeok
해명하다 | haemyeonghada
책임론 | chaegimnon
역풍 | yeokpung
파장 | pajang
파문 | pamun
논평 | nonpyeong
성명서 | seongmyeongseo
입장문 | ipjangmun
호소하다 | hosohada
주창하다 | juchanghada
피력하다 | piryeokada
개진하다 | gaejinhada
경청하다 | gyeongcheonghada
수렴하다 | suryeomhada
숙의 | sugui
민주적 | minjujeok
공공성 | gonggongseong
사익 | saik
여야 | yeoya
정쟁 | jeongjaeng
협치 | hyeopchi
불통 | bultong
평행선 | pyeonghaengseon
접점 | jeopjeom
결렬 | gyeollyeol
결렬되다 | gyeollyeoldoeda
양측 | yangcheuk
쌍방 | ssangbang
주도권 | judogwon
논객 | nongaek
논박하다 | nonbakada
반박문 | banbangmun
쟁점화 | jaengjeomhwa
쟁점화하다 | jaengjeomhwahada
논란거리 | nollangeori
찬성론 | chanseongnon
반대론 | bandaeron
신중론 | sinjungnon
여론전 | yeoronjeon
발제 | balje
발제자 | baljeja
반론권 | ballongwon
합의점 | habuijeom
중재안 | jungjaean
이견을 좁히다 | igyeoneul jopida
비난 여론 | binan yeoron
