# theme: Home and daily routine
# unit: voca-1-u004
집 | jip
방 | bang
거실 | geosil
부엌 | bueok
화장실 | hwajangsil
침실 | chimsil
문 | mun
창문 | changmun
계단 | gyedan
아파트 | apateu
마당 | madang
열쇠 | yeolsoe
침대 | chimdae
책상 | chaeksang
의자 | uija
소파 | sopa
텔레비전 | tellebijeon
냉장고 | naengjanggo
세탁기 | setakgi
청소기 | cheongsogi
에어컨 | eeokeon
컴퓨터 | keompyuteo
전화 | jeonhwa
휴대폰 | hyudaepon
책 | chaek
옷 | ot
옷장 | otjang
신발 | sinbal
가방 | gabang
안경 | angyeong
거울 | geoul
수건 | sugeon
비누 | binu
칫솔 | chitsol
치약 | chiyak
휴지 | hyuji
이불 | ibul
베개 | begae
불 | bul
그림 | geurim
꽃 | kkot
상자 | sangja
물건 | mulgeon
쓰레기 | sseuregi
청소하다 | cheongsohada
빨래하다 | ppallaehada
설거지하다 | seolgeojihada
집안일 | jibannil
일어나다 | ireonada
자다 | jada
잠 | jam
늦잠 | neutjam
꿈 | kkum
세수하다 | sesuhada
샤워하다 | syawohada
씻다 | ssitda
목욕하다 | mogyokada
닦다 | dakda
입다 | ipda
벗다 | beotda
신다 | sinda
쓰다 | sseuda
출근하다 | chulgeunhada
퇴근하다 | toegeunhada
감다 | gamda
공부하다 | gongbuhada
숙제 | sukje
쉬다 | swida
눕다 | nupda
앉다 | anda
서다 | seoda
켜다 | kyeoda
끄다 | kkeuda
열다 | yeolda
닫다 | datda
음악 | eumak
신문 | sinmun
잡지 | japji
편지 | pyeonji
읽다 | ikda
라디오 | radio
게임 | geim
산책하다 | sanchaekada
준비하다 | junbihada
나가다 | nagada
들어오다 | deureooda
돌아오다 | doraoda
생활 | saenghwal
보통 | botong
자주 | jaju
가끔 | gakkeum
항상 | hangsang
이사하다 | isahada
시끄럽다 | sikkeureopda
조용하다 | joyonghada
깨끗하다 | kkaekkeutada
더럽다 | deoreopda
넓다 | neolda
좁다 | jopda
편하다 | pyeonhada
