# theme: Perception and values
# unit: voca-5-u001
인식하다 | insikada
관념 | gwannyeom
통념 | tongnyeom
선입견 | seonipgyeon
세계관 | segyegwan
인생관 | insaenggwan
윤리적 | yullijeok
도덕적 | dodeokjeok
정체성 | jeongcheseong
자긍심 | jageungsim
주관 | jugwan
사고방식 | sagobangsik
양심 | yangsim
통찰 | tongchal
통찰력 | tongchallyeok
직관 | jikgwan
직관적 | jikgwanjeok
감수성 | gamsuseong
신조 | sinjo
소신 | sosin
본질 | bonjil
본질적 | bonjiljeok
실체 | silche
허상 | heosang
왜곡하다 | waegokada
편향 | pyeonhyang
편향되다 | pyeonhyangdoeda
편협하다 | pyeonhyeopada
포용 | poyong
자기중심적 | jagijungsimjeok
관용 | gwanyong
존엄성 | joneomseong
보편적 | bopyeonjeok
보편성 | bopyeonseong
상대주의 | sangdaejuui
다양성 | dayangseong
획일적 | hoegiljeok
획일화 | hoegilhwa
개인주의 | gaeinjuui
집단주의 | jipdanjuui
물질주의 | muljiljuui
이타적 | itajeok
폐쇄적 | pyeswaejeok
배타적 | baetajeok
인습 | inseup
규범 | gyubeom
도리 | dori
명분 | myeongbun
정의감 | jeonguigam
공정성 | gongjeongseong
정당성 | jeongdangseong
불신 | bulsin
자의식 | jauisik
문제의식 | munjeuisik
위기의식 | wigiuisik
경각심 | gyeonggaksim
안목 | anmok
식견 | sikgyeon
견문 | gyeonmun
성찰 | seongchal
혜안 | hyean
숙고하다 | sukgohada
판단력 | pandannyeok
분별력 | bunbyeollyeok
분별하다 | bunbyeolhada
선악 | seonak
진리 | jilli
진실성 | jinsilseong
가식 | gasik
위선 | wiseon
위선적 | wiseonjeok
겸허하다 | gyeomheohada
오만 | oman
독선 | dokseon
독선적 | dokseonjeok
아집 | ajip
패러다임 | paereodaim
풍조 | pungjo
세태 | setae
시대정신 | sidaejeongsin
직시하다 | jiksihada
중시하다 | jungsihada
경시하다 | gyeongsihada
등한시하다 | deunghansihada
도외시하다 | dooesihada
우선시하다 | useonsihada
당연시하다 | dangyeonsihada
신성시하다 | sinseongsihada
간주하다 | ganjuhada
지향하다 | jihyanghada
추구하다 | chuguhada
이상주의 | isangjuui
현실주의 | hyeonsiljuui
낙관적 | nakgwanjeok
비관적 | bigwanjeok
회의적 | hoeuijeok
냉소적 | naengsojeok
내면화 | naemyeonhwa
소속감 | sosokgam
유대감 | yudaegam
