# theme: Science policy
# unit: voca-6-u006
연구개발 | yeongugaebal
기초과학 | gichogwahak
응용과학 | eungyonggwahak
원천기술 | woncheongisul
첨단산업 | cheomdansaneop
학제적 | hakjejeok
연구윤리 | yeonguyulli
임상시험 | imsangsiheom
유전체 | yujeonche
줄기세포 | julgisepo
배아 | baea
지식재산권 | jisikjaesangwon
사업화 | saeopwa
기술이전 | gisurijeon
산학협력 | sanhakyeomnyeok
국책사업 | gukchaeksaeop
출연금 | churyeongeum
성과지표 | seonggwajipyo
동료평가 | dongnyopyeongga
검증 | geomjeung
탈규제 | talgyuje
인허가 | inheoga
안전성 | anjeonseong
유해성 | yuhaeseong
위해성 | wihaeseong
방사능 | bangsaneung
방사성 | bangsaseong
핵융합 | haengnyunghap
핵분열 | haekbunyeol
탄소중립 | tansojungnip
감축 | gamchuk
우주개발 | ujugaebal
발사체 | balsache
궤도 | gwedo
탐사선 | tamsaseon
초전도체 | chojeondoche
나노기술 | nanogisul
양자 | yangja
유전자변형 | yujeonjabyeonhyeong
감염병 | gamyeombyeong
역학조사 | yeokakjosa
연구진실성 | yeongujinsilseong
이해충돌 | ihaechungdol
날조 | naljo
변조 | byeonjo
입안 | iban
자문 | jamun
인재양성 | injaeyangseong
두뇌유출 | dunoeyuchul
이공계 | igonggye
거대과학 | geodaegwahak
가속기 | gasokgi
선도 | seondo
국산화 | guksanhwa
의존도 | uijondo
전략기술 | jeollyakgisul
기술패권 | gisulpaegwon
기술유출 | gisuryuchul
기밀 | gimil
중복투자 | jungboktuja
비효율 | bihyoyul
칸막이 | kanmagi
총괄 | chonggwal
중장기 | jungjanggi
청사진 | cheongsajin
도약 | doyak
화합물 | hwahammul
합성 | hapseong
추출 | chuchul
유의성 | yuuiseong
이중맹검 | ijungmaenggeom
위약 | wiyak
동물실험 | dongmulsilheom
장기이식 | janggiisik
뇌사 | noesa
정보격차 | jeongbogyeokcha
이중용도 | ijungyongdo
지속가능성 | jisokganeungseong
생물다양성 | saengmuldayangseong
담수화 | damsuhwa
오염원 | oyeomwon
배출권 | baechulgwon
저감 | jeogam
포집 | pojip
기술혁신 | gisulhyeoksin
출연연 | churyeonyeon
논문표절 | nonmunpyojeol
실증연구 | siljeungyeongu
유전자가위 | yujeonjagawi
합성생물학 | hapseongsaengmulhak
체세포 | chesepo
인간복제 | inganbokje
재생에너지 | jaesaengeneoji
탈원전 | tarwonjeon
핵폐기물 | haekpyegimul
반감기 | bangamgi
피폭 | pipok
이차전지 | ichajeonji
소재부품 | sojaebupum
국제표준 | gukjepyojun
