# theme: Formal verbs of cause
# unit: voca-5-u009
빚다 | bitda
기인하다 | giinhada
연유하다 | yeonyuhada
말미암다 | malmiamda
의거하다 | uigeohada
좌우되다 | jwaudoeda
결정짓다 | gyeoljeongjitda
작용하다 | jagyonghada
촉발하다 | chokbalhada
가속화하다 | gasokwahada
부추기다 | buchugida
조장하다 | jojanghada
자극하다 | jageukada
유도하다 | yudohada
유인하다 | yuinhada
이끌어 내다 | ikkeureo naeda
파생하다 | pasaenghada
파생되다 | pasaengdoeda
수반하다 | subanhada
동반하다 | dongbanhada
뒤따르다 | dwittareuda
잇따르다 | ittareuda
초래되다 | choraedoeda
야기되다 | yagidoeda
유발되다 | yubaldoeda
빚어지다 | bijeojida
생겨나다 | saenggyeonada
비롯하다 | birotada
이바지하다 | ibajihada
공헌하다 | gongheonhada
일조하다 | iljohada
한몫하다 | hanmokada
악화시키다 | akwasikida
심화시키다 | simhwasikida
증폭시키다 | jeungpoksikida
증폭되다 | jeungpokdoeda
파급되다 | pageupdoeda
전가하다 | jeongahada
귀결되다 | gwigyeoldoeda
귀착되다 | gwichakdoeda
결부되다 | gyeolbudoeda
결부시키다 | gyeolbusikida
연관되다 | yeongwandoeda
연계되다 | yeongyedoeda
직결되다 | jikgyeoldoeda
맞물리다 | manmullida
얽히다 | eolkida
엮이다 | yeokkida
상쇄하다 | sangswaehada
상쇄되다 | sangswaedoeda
저해하다 | jeohaehada
가로막다 | garomakda
제약하다 | jeyakada
위축시키다 | wichuksikida
약화시키다 | yakwasikida
둔화시키다 | dunhwasikida
둔화되다 | dunhwadoeda
훼손하다 | hwesonhada
손상시키다 | sonsangsikida
불러오다 | bulleooda
자아내다 | jaanaeda
끌어내다 | kkeureonaeda
빌미 | bilmi
원동력 | wondongnyeok
발단 | baldan
근원 | geunwon
원천 | woncheon
동인 | dongin
화근 | hwageun
파급 효과 | pageup hyogwa
인과 관계 | ingwa gwangye
연쇄 반응 | yeonswae baneung
악순환 | aksunhwan
선순환 | seonsunhwan
기폭제 | gipokje
도화선 | dohwaseon
촉매 | chongmae
단초 | dancho
다다르다 | dadareuda
치닫다 | chidatda
몰고 오다 | molgo oda
몰아가다 | moragada
내몰다 | naemolda
처하다 | cheohada
직면하다 | jingmyeonhada
봉착하다 | bongchakada
빠뜨리다 | ppatteurida
전락하다 | jeollakada
탓하다 | tatada
유래되다 | yuraedoeda
발원하다 | barwonhada
태동하다 | taedonghada
조성되다 | joseongdoeda
견인하다 | gyeoninhada
뒷받침하다 | dwitbatchimhada
부채질하다 | buchaejilhada
가중시키다 | gajungsikida
가중되다 | gajungdoeda
빚어내다 | bijeonaeda
촉발되다 | chokbaldoeda
