# theme: Places around town
# unit: voca-1-u005
학교 | hakgyo
대학교 | daehakgyo
초등학교 | chodeunghakgyo
중학교 | junghakgyo
고등학교 | godeunghakgyo
유치원 | yuchiwon
학원 | hagwon
교실 | gyosil
기숙사 | gisuksa
도서관 | doseogwan
회사 | hoesa
사무실 | samusil
은행 | eunhaeng
병원 | byeongwon
약국 | yakguk
우체국 | ucheguk
경찰서 | gyeongchalseo
시청 | sicheong
대사관 | daesagwan
시장 | sijang
가게 | gage
편의점 | pyeonuijeom
백화점 | baekhwajeom
마트 | mateu
슈퍼마켓 | syupeomaket
서점 | seojeom
문구점 | mungujeom
꽃집 | kkotjip
미용실 | miyongsil
세탁소 | setakso
사진관 | sajingwan
여행사 | yeohaengsa
공원 | gongwon
영화관 | yeonghwagwan
극장 | geukjang
박물관 | bangmulgwan
미술관 | misulgwan
동물원 | dongmurwon
놀이공원 | norigongwon
노래방 | noraebang
운동장 | undongjang
수영장 | suyeongjang
체육관 | cheyukgwan
교회 | gyohoe
성당 | seongdang
절 | jeol
호텔 | hotel
커피숍 | keopisyop
공항 | gonghang
역 | yeok
지하철역 | jihacheollyeok
지하철 | jihacheol
호선 | hoseon
버스 | beoseu
정류장 | jeongnyujang
택시 | taeksi
기차 | gicha
비행기 | bihaenggi
자동차 | jadongcha
자전거 | jajeongeo
주차장 | juchajang
표 | pyo
교통 | gyotong
길 | gil
거리 | geori
사거리 | sageori
신호등 | sinhodeung
횡단보도 | hoengdanbodo
건물 | geonmul
빌딩 | bilding
입구 | ipgu
출구 | chulgu
지도 | jido
동네 | dongne
마을 | maeul
도시 | dosi
시내 | sinae
시골 | sigol
고향 | gohyang
서울 | seoul
바다 | bada
산 | san
강 | gang
곳 | got
장소 | jangso
여기 | yeogi
거기 | geogi
저기 | jeogi
어디 | eodi
이쪽 | ijjok
그쪽 | geujjok
저쪽 | jeojjok
위 | wi
아래 | arae
밑 | mit
옆 | yeop
앞 | ap
뒤 | dwi
안 | an
밖 | bak
