# theme: Science and technology
# unit: voca-4-u004
과학기술 | gwahakgisul
첨단 | cheomdan
인공지능 | ingongjineung
자동화 | jadonghwa
정보통신 | jeongbotongsin
네트워크 | neteuwokeu
데이터 | deiteo
빅데이터 | bikdeiteo
알고리즘 | algorijeum
소프트웨어 | sopeuteuweeo
하드웨어 | hadeuweeo
반도체 | bandoche
전자기기 | jeonjagigi
장치 | jangchi
장비 | jangbi
부품 | bupum
배터리 | baeteori
충전 | chungjeon
신재생에너지 | sinjaesaengeneoji
발전소 | baljeonso
화석연료 | hwaseogyeollyo
우주 | uju
인공위성 | ingongwiseong
발사 | balsa
로켓 | roket
탐사 | tamsa
행성 | haengseong
천문학 | cheonmunhak
물리학 | mullihak
화학 | hwahak
생물학 | saengmulhak
유전자 | yujeonja
세포 | sepo
복제 | bokje
생명공학 | saengmyeonggonghak
의학 | uihak
신약 | sinyak
임상 | imsang
실험실 | silheomsil
연구원 | yeonguwon
연구소 | yeonguso
발명 | balmyeong
발명품 | balmyeongpum
개발 | gaebal
개발자 | gaebalja
혁신 | hyeoksin
이론 | iron
가설 | gaseol
증명 | jeungmyeong
관찰 | gwanchal
측정 | cheukjeong
정밀 | jeongmil
오차 | ocha
성능 | seongneung
사양 | sayang
유선 | yuseon
플랫폼 | peullaetpom
암호 | amho
악성코드 | akseongkodeu
가상현실 | gasanghyeonsil
증강현실 | jeungganghyeonsil
디지털 | dijiteol
전산 | jeonsan
드론 | deuron
자율주행 | jayuljuhaeng
센서 | senseo
신소재 | sinsojae
소재 | sojae
물질 | muljil
원소 | wonso
분자 | bunja
원자 | wonja
전파 | jeonpa
전자파 | jeonjapa
주파수 | jupasu
진동 | jindong
압력 | amnyeok
중력 | jungnyeok
레이저 | reijeo
망원경 | mangwongyeong
현미경 | hyeonmigyeong
관측 | gwancheuk
기술력 | gisullyeok
과학적 | gwahakjeok
상용화 | sangyonghwa
실용화 | siryonghwa
응용 | eungyong
적용 | jeogyong
활용 | hwaryong
보급 | bogeup
원격 | wongyeok
원격진료 | wongyeokjillyo
통신망 | tongsinmang
서버 | seobeo
클라우드 | keullaudeu
용량 | yongnyang
해상도 | haesangdo
윤리 | yulli
생명윤리 | saengmyeongyulli
로봇 | robot
