# theme: Advanced economics
# unit: voca-6-u005
거시경제 | geosigyeongje
미시경제 | misigyeongje
경기순환 | gyeonggisunhwan
경기침체 | gyeonggichimche
스태그플레이션 | seutaegeupeulleisyeon
디플레이션 | dipeulleisyeon
초인플레이션 | choinpeulleisyeon
기준금리 | gijungeumni
금리인상 | geumniinsang
양적완화 | yangjeogwanhwa
긴축 | ginchuk
긴축재정 | ginchukjaejeong
재정적자 | jaejeongjeokja
국가부채 | gukgabuchae
가계부채 | gagyebuchae
통화정책 | tonghwajeongchaek
재정정책 | jaejeongjeongchaek
유동성 | yudongseong
통화량 | tonghwaryang
평가절하 | pyeonggajeolha
평가절상 | pyeonggajeolsang
경상수지 | gyeongsangsuji
무역수지 | muyeoksuji
국제수지 | gukjesuji
외환보유액 | oehwanboyuaek
국내총생산 | gungnaechongsaengsan
잠재성장률 | jamjaeseongjangnyul
물가상승률 | mulgasangseungnyul
고용률 | goyongnyul
노동생산성 | nodongsaengsanseong
한계효용 | hangyehyoyong
기회비용 | gihoebiyong
매몰비용 | maemolbiyong
수확체감 | suhwakchegam
외부효과 | oebuhyogwa
무임승차 | muimseungcha
시장실패 | sijangsilpae
정부실패 | jeongbusilpae
독과점 | dokgwajeom
과점 | gwajeom
담합 | damhap
진입장벽 | jinipjangbyeok
공정거래 | gongjeonggeorae
가격탄력성 | gagyeoktallyeokseong
수요곡선 | suyogokseon
균형가격 | gyunhyeonggagyeok
초과수요 | chogwasuyo
재화 | jaehwa
공공재 | gonggongjae
사치재 | sachijae
필수재 | pilsujae
대체재 | daechejae
보완재 | bowanjae
한계비용 | hangyebiyong
자본축적 | jabonchukjeok
자산거품 | jasangeopum
투기자본 | tugijabon
헤지펀드 | hejipeondeu
파생상품 | pasaengsangpum
국채 | gukchae
회사채 | hoesachae
수익률 | suingnyul
배당 | baedang
주가지수 | jugajisu
시가총액 | sigachongaek
급등 | geupdeung
변동성 | byeondongseong
신용등급 | sinyongdeunggeup
채무불이행 | chaemuburihaeng
디폴트 | dipolteu
공적자금 | gongjeokjageum
구제금융 | gujegeumyung
모라토리엄 | moratorieom
외환위기 | oehwanwigi
도산 | dosan
인수합병 | insuhapbyeong
지주회사 | jijuhoesa
재벌 | jaebeol
경제민주화 | gyeongjeminjuhwa
소득재분배 | sodeukjaebunbae
역진세 | yeokjinse
조세부담률 | josebudamnyul
지니계수 | jinigyesu
낙수효과 | naksuhyogwa
관세장벽 | gwansejangbyeok
덤핑 | deomping
비교우위 | bigyouwi
절대우위 | jeoldaeuwi
실물경제 | silmulgyeongje
가처분소득 | gacheobunsodeuk
소비성향 | sobiseonghyang
저축률 | jeochungnyul
경기부양 | gyeonggibuyang
부양책 | buyangchaek
경착륙 | gyeongchangnyuk
연착륙 | yeonchangnyuk
저성장 | jeoseongjang
총수요 | chongsuyo
총공급 | chonggonggeup
승수효과 | seungsuhyogwa
