# theme: Travel and transport
# unit: voca-2-u004
관광 | gwangwang
관광지 | gwangwangji
관광객 | gwangwanggaek
관광하다 | gwangwanghada
여권 | yeogwon
비자 | bija
비행기표 | bihaenggipyo
항공권 | hanggonggwon
출국 | chulguk
입국 | ipguk
면세점 | myeonsejeom
출발 | chulbal
출발하다 | chulbalhada
도착 | dochak
도착하다 | dochakada
탑승 | tapseung
탑승권 | tapseunggwon
좌석 | jwaseok
창가 | changga
통로 | tongno
짐 | jim
캐리어 | kaerieo
풀다 | pulda
숙소 | sukso
민박 | minbak
체크인 | chekeuin
체크아웃 | chekeuaut
객실 | gaeksil
박 | bak
위치 | wichi
안내 | annae
안내소 | annaeso
안내하다 | annaehada
가이드 | gaideu
기념품 | ginyeompum
특산물 | teuksanmul
풍경 | punggyeong
해변 | haebyeon
바닷가 | badatga
온천 | oncheon
대중교통 | daejunggyotong
교통카드 | gyotongkadeu
정거장 | jeonggeojang
기차역 | gichayeok
고속버스 | gosokbeoseu
시외버스 | sioebeoseu
터미널 | teomineol
기사 | gisa
운전 | unjeon
운전하다 | unjeonhada
운전면허 | unjeonmyeonheo
오토바이 | otobai
항구 | hanggu
고속도로 | gosokdoro
도로 | doro
건너다 | geonneoda
골목 | golmok
모퉁이 | motungi
돌다 | dolda
직진하다 | jikjinhada
갈아타다 | garatada
환승 | hwanseung
놓치다 | notchida
막히다 | makida
교통사고 | gyotongsago
사고 | sago
복잡하다 | bokjapada
붐비다 | bumbida
매표소 | maepyoso
왕복 | wangbok
편도 | pyeondo
승객 | seunggaek
노선 | noseon
방향 | banghyang
걸어가다 | georeogada
걸리다 | geollida
주차하다 | juchahada
주유소 | juyuso
휴게소 | hyugeso
속도 | sokdo
안전벨트 | anjeonbelteu
멀미 | meolmi
시차 | sicha
해외 | haeoe
국내 | gungnae
해외여행 | haeoeyeohaeng
배낭여행 | baenangnyeohaeng
신혼여행 | sinhonnyeohaeng
떠나다 | tteonada
여행하다 | yeohaenghada
여행지 | yeohaengji
여행객 | yeohaenggaek
승무원 | seungmuwon
기내 | ginae
수하물 | suhamul
세관 | segwan
숙박 | sukbak
좌회전 | jwahoejeon
우회전 | uhoejeon
교통비 | gyotongbi
