# theme: Numbers, dates and time
# unit: voca-1-u002
일 | il
이 | i
삼 | sam
사 | sa
오 | o
육 | yuk
칠 | chil
팔 | pal
구 | gu
십 | sip
백 | baek
천 | cheon
만 | man
영 | yeong
하나 | hana
둘 | dul
셋 | set
넷 | net
다섯 | daseot
여섯 | yeoseot
일곱 | ilgop
여덟 | yeodeol
아홉 | ahop
열 | yeol
스물 | seumul
서른 | seoreun
숫자 | sutja
번호 | beonho
몇 | myeot
개 | gae
명 | myeong
살 | sal
번 | beon
번째 | beonjjae
권 | gwon
장 | jang
병 | byeong
잔 | jan
마리 | mari
대 | dae
층 | cheung
시 | si
분 | bun
초 | cho
반 | ban
시간 | sigan
시계 | sigye
지금 | jigeum
오늘 | oneul
어제 | eoje
내일 | naeil
모레 | more
그저께 | geujeokke
날 | nal
날짜 | naljja
하루 | haru
이틀 | iteul
요일 | yoil
월요일 | woryoil
화요일 | hwayoil
수요일 | suyoil
목요일 | mogyoil
금요일 | geumyoil
토요일 | toyoil
일요일 | iryoil
주말 | jumal
일주일 | iljuil
지난주 | jinanju
이번 주 | ibeon ju
다음 주 | daeum ju
달 | dal
월 | wol
일월 | irwol
이월 | iwol
삼월 | samwol
사월 | sawol
오월 | owol
유월 | yuwol
칠월 | chirwol
팔월 | parwol
구월 | guwol
시월 | siwol
십일월 | sibirwol
십이월 | sibiwol
지난달 | jinandal
이번 달 | ibeon dal
다음 달 | daeum dal
년 | nyeon
올해 | olhae
작년 | jangnyeon
내년 | naenyeon
달력 | dallyeok
생일 | saengil
휴일 | hyuil
방학 | banghak
아침 | achim
점심 | jeomsim
저녁 | jeonyeok
낮 | nat
밤 | bam
