# theme: Core verbs and adjectives
# unit: voca-1-u008
가다 | gada
오다 | oda
하다 | hada
있다 | itda
없다 | eopda
아니다 | anida
보다 | boda
듣다 | deutda
고치다 | gochida
알다 | alda
모르다 | moreuda
주다 | juda
받다 | batda
좋아하다 | joahada
싫어하다 | sireohada
좋다 | jota
싫다 | silta
나쁘다 | nappeuda
크다 | keuda
작다 | jakda
많다 | manta
적다 | jeokda
길다 | gilda
짧다 | jjalda
높다 | nopda
낮다 | natda
무겁다 | mugeopda
가볍다 | gabyeopda
빠르다 | ppareuda
느리다 | neurida
쉽다 | swipda
어렵다 | eoryeopda
재미있다 | jaemiitda
재미없다 | jaemieopda
바쁘다 | bappeuda
아프다 | apeuda
기쁘다 | gippeuda
슬프다 | seulpeuda
행복하다 | haengbokhada
피곤하다 | pigonhada
괜찮다 | gwaenchanta
같다 | gatda
다르다 | dareuda
멀다 | meolda
가깝다 | gakkapda
배우다 | baeuda
가르치다 | gareuchida
놀다 | nolda
걷다 | geotda
뛰다 | ttwida
달리다 | dallida
타다 | tada
찾다 | chatda
기다리다 | gidarida
부르다 | bureuda
어리다 | eorida
춤추다 | chumchuda
웃다 | utda
울다 | ulda
생각하다 | saenggakhada
시작하다 | sijakhada
끝나다 | kkeunnada
끝내다 | kkeunnaeda
들어가다 | deureogada
나오다 | naoda
올라가다 | ollagada
내려가다 | naeryeogada
돌아가다 | doragada
만들다 | mandeulda
보내다 | bonaeda
들다 | deulda
놓다 | nota
넣다 | neota
잡다 | japda
걸다 | geolda
이야기하다 | iyagihada
묻다 | mutda
대답하다 | daedapada
되다 | doeda
돕다 | dopda
잘하다 | jalhada
못하다 | motada
친절하다 | chinjeolhada
착하다 | chakada
귀엽다 | gwiyeopda
건강하다 | geonganghada
불편하다 | bulpyeonhada
무섭다 | museopda
즐겁다 | jeulgeopda
아름답다 | areumdapda
늦다 | neutda
힘들다 | himdeulda
기억하다 | gieokada
어둡다 | eodupda
두껍다 | dukkeopda
얇다 | yalda
젊다 | jeomda
늙다 | neukda
목마르다 | mongmareuda
졸리다 | jollida
