# theme: Media and the internet
# unit: voca-3-u005
언론 | eollon
방송국 | bangsongguk
신문사 | sinmunsa
기자 | gija
보도 | bodo
보도하다 | bodohada
특종 | teukjong
취재 | chwijae
취재하다 | chwijaehada
인터뷰 | inteobyu
시청자 | sicheongja
시청하다 | sicheonghada
시청률 | sicheongnyul
청취자 | cheongchwija
독자 | dokja
구독 | gudok
구독하다 | gudokada
구독자 | gudokja
예능 | yeneung
다큐멘터리 | dakyumenteori
홍보 | hongbo
홍보하다 | hongbohada
매체 | maeche
대중 | daejung
대중문화 | daejungmunhwa
온라인 | ollain
누리꾼 | nurikkun
네티즌 | netijeun
댓글 | daetgeul
게시판 | gesipan
게시하다 | gesihada
게시물 | gesimul
검색 | geomsaek
검색하다 | geomsaekada
검색어 | geomsaegeo
접속 | jeopsok
접속하다 | jeopsokada
홈페이지 | hompeiji
탈퇴하다 | taltoehada
로그인 | rogeuin
아이디 | aidi
계정 | gyejeong
개인 정보 | gaein jeongbo
유출 | yuchul
유출되다 | yuchuldoeda
해킹 | haeking
보안 | boan
바이러스 | baireoseu
내려받다 | naeryeobatda
저장하다 | jeojanghada
삭제하다 | sakjehada
첨부하다 | cheombuhada
전송하다 | jeonsonghada
공유 | gongyu
공유하다 | gongyuhada
클릭하다 | keullikada
동영상 | dongyeongsang
영상 | yeongsang
촬영하다 | chwaryeonghada
편집하다 | pyeonjipada
실시간 | silsigan
생방송 | saengbangsong
녹화 | nokwa
녹음 | nogeum
앱 | aep
설치하다 | seolchihada
업데이트 | eopdeiteu
무선 | museon
충전하다 | chungjeonhada
기기 | gigi
전자책 | jeonjachaek
사생활 | sasaenghwal
초상권 | chosanggwon
저작권 | jeojakgwon
불법 | bulbeop
가짜 | gajja
허위 | heowi
진실 | jinsil
정확하다 | jeonghwakada
신속하다 | sinsokada
전달하다 | jeondalhada
소식 | sosik
속보 | sokbo
여론 | yeoron
설문 | seolmun
통계 | tonggye
영향력 | yeonghyangnyeok
유명인 | yumyeongin
연예인 | yeonyein
화제 | hwaje
중독 | jungdok
사이버 | saibeo
가상 | gasang
통신 | tongsin
통신사 | tongsinsa
요금제 | yogeumje
채널 | chaenel
진행자 | jinhaengja
출연하다 | churyeonhada
출연자 | churyeonja
