# theme: Health and lifestyle
# unit: voca-3-u007
증세 | jeungse
질병 | jilbyeong
질환 | jilhwan
만성 | manseong
통증 | tongjeung
복통 | boktong
요통 | yotong
치통 | chitong
염증 | yeomjeung
비만 | biman
체력 | cheryeok
면역력 | myeonyeongnyeok
영양 | yeongyang
영양소 | yeongyangso
단백질 | danbaekjil
탄수화물 | tansuhwamul
지방 | jibang
식습관 | sikseupgwan
식단 | sikdan
편식 | pyeonsik
과식 | gwasik
폭식 | poksik
금주 | geumju
흡연 | heubyeon
음주 | eumju
과음 | gwaeum
숙취 | sukchwi
수면 | sumyeon
불면증 | bulmyeonjeung
피로 | piro
우울증 | uuljeung
예방 | yebang
접종 | jeopjong
백신 | baeksin
치료제 | chiryoje
처방 | cheobang
검진 | geomjin
회복 | hoebok
재활 | jaehwal
완치 | wanchi
호전되다 | hojeondoeda
부작용 | bujagyong
복용 | bogyong
의료 | uiryo
건강보험 | geongangboheom
고혈압 | gohyeorap
당뇨병 | dangnyobyeong
심장 | simjang
관절 | gwanjeol
혈액 | hyeoraek
맥박 | maekbak
호흡 | hoheup
메스껍다 | meseukkeopda
삐다 | ppida
부상 | busang
흉터 | hyungteo
골절 | goljeol
운동량 | undongnyang
꾸준하다 | kkujunhada
습관 | seupgwan
체질 | chejil
노화 | nohwa
수명 | sumyeong
장수 | jangsu
식이요법 | sigiyobeop
명상 | myeongsang
균형 | gyunhyeong
위생 | wisaeng
청결 | cheonggyeol
감염 | gamyeom
전염병 | jeonyeombyeong
세균 | segyun
식중독 | sikjungdok
탈수 | talsu
빈혈 | binhyeol
변비 | byeonbi
시력 | siryeok
청력 | cheongnyeok
무리하다 | murihada
과로 | gwaro
섭취 | seopchwi
활력 | hwallyeok
소화불량 | sohwabullyang
스트레칭 | seuteuresing
칼로리 | kallori
생활습관 | saenghwalseupgwan
금연하다 | geumyeonhada
규칙적 | gyuchikjeok
기절하다 | gijeolhada
진단 | jindan
저체중 | jeochejung
과체중 | gwachejung
유산소운동 | yusansoundong
근력 | geullyeok
체지방 | chejibang
운동부족 | undongbujok
어지럼증 | eojireomjeung
숙면 | sungmyeon
금식 | geumsik
야식 | yasik
